original_language,2022-06-30,Indicator.Name
INDICE GLOBAL,"17,8",GLOBAL INDEX
Produits alimentaires et boissons non alcoolisées,"28,9",Food and non-alcoholic beverages
"Boissons alcoolisées, Tabac et stupéfiants","20,0","ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
Articles d'habillement et chaussures,"0,4",Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","2,8","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant du foyer","0,3","Furnishing, household equipment and routine household maintenance"
Santé,"0,0",Healthcare
Transports,"6,6",Transport
Communication,"0,0",Communication
Loisirs et culture,"0,1",Leisure and culture
Enseignement,"4,0",Education
Restaurants et Hôtels,"1,9",Restaurants and hotels
Biens et services divers,"0,5",Miscellaneous goods and services
