original_language,2022-07-31,Indicator.Name
INDICE GLOBAL,"18,2",GLOBAL INDEX
Produits alimentaires et boissons non alcoolisées,"30,7",Food and non-alcoholic beverages
"Boissons alcoolisées, Tabac et stupéfiants","7,1","ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
Articles d'habillement et chaussures,"0,4",Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","5,4","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant du foyer","0,3","Furnishing, household equipment and routine household maintenance"
Santé,"0,0",Healthcare
Transports,"6,4",Transport
Communication,"0,0",Communication
Loisirs et culture,"0,1",Leisure and culture
Enseignement,"4,0",Education
Restaurants et Hôtels,"1,5",Restaurants and hotels
Biens et services divers,"0,6",Miscellaneous goods and services
