original_language,2022-05-31,Indicator.Name
INDICE GLOBAL,"15,3",GLOBAL INDEX
Produits alimentaires et boissons non alcoolisées,"25,2",Food and non-alcoholic beverages
"Boissons alcoolisées, Tabac et stupéfiants","19,5","ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
Articles d'habillement et chaussures,"0,3",Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","2,8","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant du foyer","0,3","Furnishing, household equipment and routine household maintenance"
Santé,"0,1",Healthcare
Transports,"5,4",Transport
Communication,"0,0",Communication
Loisirs et culture,"0,1",Leisure and culture
Enseignement,"4,0",Education
Restaurants et Hôtels,"1,5",Restaurants and hotels
Biens et services divers,"0,5",Miscellaneous goods and services
