original_language,2022-09-30,Indicator.Name
INDICE GLOBAL,"16,5",GLOBAL INDEX
Produits alimentaires et boissons non alcoolisées,"26,4",Food and non-alcoholic beverages
"Boissons alcoolisées, Tabac et stupéfiants","11,2","ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
Articles d'habillement et chaussures,"0,4",Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","6,3","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant du foyer","0,3","Furnishing, household equipment and routine household maintenance"
Santé,"0,0",Healthcare
Transports,"7,7",Transport
Communication,"0,0",Communication
Loisirs et culture,"0,3",Leisure and culture
Enseignement,"1,6",Education
Restaurants et Hôtels,"2,1",Restaurants and hotels
Biens et services divers,"0,4",Miscellaneous goods and services
