Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Burundi,0,BDI,14.81,17.85,21.0,27.21,26.83,28.62,27.3,28.11,25.42,24.94,24.7,25.67,22.93,19.17,16.72,11.86,11.42,7.65,5.99,5.61,11.91,6.99,5.57,4.63,4.47,5.44,6.56,7.47,8.73,9.67,9.76,8.51,3.49,4.67,5.5,4.08,4.77,5.0,5.72,6.71,7.48,8.61,9.09,10.98,11.73,13.34,16.43,14.86,21.62,21.97,24.48,25.21,22.49,17.27,17.62,15.78,14.23,15.87,11.68,11.83,7.56,9.43,6.88,3.62,6.21,9.73,9.59,8.23,9.66,7.29,8.28,9.02,6.0,5.86,3.76,4.78,3.44,3.33,3.11,5.87,5.47,3.5,4.16,3.75,3.47,1.12,4.71,7.47,7.19,7.66,7.99,4.23,4.15,5.61,5.8,7.11,6.35,6.68,4.28,2.62,2.71,3.88,3.95,6.63,7.01,5.98,7.11,9.55,12.86,20.43,21.08,19.51,18.81,15.0,13.53,13.93,15.36,17.58,15.36,9.95,6.11,-1.31,-2.56,-1.91,-1.29,-0.67,-1.08,-2.56,-5.95,-8.5,-7.32,-5.88,-3.77,-4.06,-2.92,-2.11,-2.36,-3.97,-2.41,-0.63,2.11,4.09,3.58,4.96,5.19,7.63,7.12,7.55,9.04,8.27,7.49,6.43,6.01,6.7,8.69,7.7,6.31,5.81,7.67,6.44,6.32,9.08,9.6,10.47,10.58,9.87,8.65,9.99,12.21,13.32,12.26,16.18,17.37,17.67,19.1,19.6,20.9,"22,1"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Burundi,0,BDI,11.81,20.62,25.42,34.58,32.18,34.14,40.37,42.31,42.22,42.4,40.44,42.73,36.64,27.58,22.31,16.66,16.73,10.77,9.24,5.72,4.39,-0.81,-1.1,-2.44,0.12,3.81,5.61,5.1,8.41,8.22,7.79,7.93,8.92,8.5,6.45,3.96,5.15,3.63,4.61,6.32,6.0,7.24,7.77,10.18,10.03,12.71,19.85,16.35,18.34,15.85,20.43,21.74,18.43,12.59,14.31,12.06,8.8,12.02,5.73,6.27,6.55,10.73,8.82,4.11,6.23,12.02,11.55,9.68,13.63,9.39,10.03,11.82,7.66,6.42,1.18,1.75,1.74,1.77,1.36,3.08,2.37,0.32,1.07,-0.46,-1.21,-2.85,2.25,8.56,8.46,10.02,10.44,4.63,4.77,5.43,7.15,11.72,9.55,10.92,6.41,2.51,2.84,4.04,4.55,7.66,8.35,7.05,9.1,13.76,20.13,33.49,34.27,29.98,27.67,20.81,18.72,22.49,23.35,27.76,22.03,9.69,3.43,-8.64,-10.82,-9.6,-8.6,-7.79,-8.45,-10.84,-15.68,-20.0,-18.44,-15.15,-10.82,-10.61,-7.67,-5.95,-5.71,-8.51,-6.11,-2.89,2.92,6.2,6.42,8.83,8.57,12.86,11.88,12.37,14.62,13.22,12.05,10.38,9.93,11.49,15.03,12.62,9.94,8.43,10.28,8.99,5.2,12.2,12.92,14.2,13.68,11.66,8.15,9.61,14.37,16.2,14.88,19.28,22.86,21.05,24.4,24.2,26.3,"29,5"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Burundi,0,BDI,20.5,21.37,21.48,21.81,19.86,24.79,23.65,21.49,13.12,13.81,13.84,14.1,17.98,17.14,17.03,16.49,16.12,11.19,10.38,12.9,12.99,12.73,12.92,12.84,0.1,0.77,0.83,1.49,1.81,0.82,1.65,1.98,2.0,1.61,5.51,5.35,5.01,4.33,4.27,4.06,10.36,16.35,22.37,21.51,22.58,25.67,22.03,23.32,24.13,24.11,24.76,24.13,17.65,11.59,12.04,21.03,19.98,17.02,15.83,14.63,13.85,16.59,12.57,13.84,12.49,16.76,11.08,2.17,0.57,-2.9,-2.28,-1.28,-2.17,-4.21,-1.01,-0.35,-0.18,-3.76,-4.29,-2.35,0.3,3.64,2.89,1.1,2.44,-0.39,-1.42,-2.03,-0.95,-0.47,0.64,-0.29,-2.05,-0.06,0.51,-0.53,3.83,9.27,9.86,7.26,9.73,13.5,12.75,14.17,15.78,18.96,18.38,18.79,11.29,13.41,12.33,15.26,11.94,8.29,9.54,7.57,9.56,4.09,4.3,5.52,7.06,5.08,6.69,5.99,7.09,5.96,6.57,8.49,5.39,4.16,4.87,2.99,3.0,0.88,-0.18,-1.5,-1.57,-0.96,-2.4,-0.68,-0.94,-2.26,-3.01,0.09,1.5,1.14,2.21,3.75,3.63,3.18,1.76,0.86,0.17,1.69,0.62,0.97,0.43,5.9,1.38,0.43,1.79,3.08,3.63,3.22,7.56,8.91,11.38,10.09,8.56,2.21,7.5,8.23,9.07,7.65,8.3,7.1,3.5,"7,4"
Clothing and footwear,PCPIA_PC_CP_A_PT,Burundi,0,BDI,-4.97,-0.34,0.84,1.4,5.37,6.26,5.62,8.31,3.3,7.3,3.51,9.24,4.79,7.65,8.75,6.15,9.1,10.37,11.31,10.08,15.26,9.28,9.82,7.18,12.56,6.44,2.82,3.89,0.02,-1.25,-1.86,-0.64,-2.3,-1.1,-0.77,-0.42,0.61,5.88,8.05,8.38,7.88,9.83,21.71,25.05,25.43,27.02,30.4,28.15,29.5,34.76,30.52,34.37,38.09,38.79,27.69,17.06,16.43,14.68,10.94,8.28,5.82,1.44,2.92,0.11,-1.11,-2.94,-5.63,-2.48,-1.18,-0.07,1.79,2.79,3.42,4.88,5.72,6.82,6.21,6.5,9.24,12.96,12.15,10.62,12.05,13.68,14.6,12.59,12.91,11.81,10.95,9.78,12.84,8.52,11.8,13.03,11.86,10.68,9.69,9.6,5.95,7.65,8.81,10.75,8.0,15.53,15.03,17.19,16.47,17.22,15.23,14.51,18.98,18.25,16.13,14.15,13.15,7.47,5.47,2.89,4.75,3.39,5.86,8.4,5.64,5.71,7.2,7.19,7.13,6.22,6.58,5.49,6.18,5.13,5.8,2.43,4.3,2.96,2.41,3.37,2.13,3.94,1.61,3.84,1.58,2.53,1.58,5.0,-5.47,6.0,5.05,5.18,6.1,4.12,4.41,5.99,5.81,6.4,5.65,4.77,15.67,3.9,5.85,5.17,4.49,5.54,6.77,5.03,4.72,7.87,7.36,10.02,8.78,10.43,11.73,13.23,12.6,14.0,14.5,"12,3"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Burundi,0,BDI,23.34,16.72,18.73,22.03,23.91,29.66,15.5,14.97,9.42,5.72,10.63,6.66,9.79,10.58,11.88,7.38,5.76,3.54,1.3,5.49,30.58,22.5,14.59,18.93,13.38,10.43,10.87,14.87,13.37,17.74,19.94,14.8,-3.35,0.64,5.54,4.6,1.84,4.64,5.11,4.0,7.04,7.16,3.92,5.78,7.99,8.89,7.84,8.94,32.61,37.64,38.67,40.57,37.0,29.9,30.38,27.74,28.46,28.34,26.15,26.18,9.77,9.35,4.3,1.39,6.0,7.89,7.93,7.11,5.18,5.09,6.91,5.89,2.53,6.92,5.98,8.06,4.22,4.17,4.89,11.44,12.42,7.26,7.14,8.52,8.35,0.82,7.24,7.32,5.75,4.22,5.04,1.38,-0.92,3.25,2.58,0.11,1.23,-0.01,-0.07,1.01,-0.99,-0.34,-1.91,2.68,3.72,1.62,2.03,2.72,4.95,5.68,6.63,8.36,7.76,9.03,8.15,5.04,7.47,6.96,8.7,10.25,9.84,10.77,9.98,7.72,14.73,13.08,12.82,10.1,8.19,11.18,10.65,11.17,5.66,5.83,3.74,4.81,0.66,1.42,3.04,1.52,2.1,3.1,2.99,0.82,4.19,4.52,3.93,4.91,5.41,3.94,4.91,7.81,7.08,4.72,4.67,4.66,5.31,3.85,9.06,5.22,6.22,8.22,8.35,7.01,5.92,10.95,9.78,13.97,10.92,11.73,7.37,12.11,13.31,13.0,9.5,11.2,11.3,"6,4"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Burundi,0,BDI,6.22,7.09,11.46,11.85,15.24,10.24,10.52,13.79,12.67,11.21,11.13,31.98,31.21,31.84,26.87,27.35,24.28,22.8,21.81,21.69,28.05,30.97,30.79,10.25,9.25,9.03,9.39,9.97,9.05,10.27,9.88,7.57,3.44,5.04,6.25,6.3,6.98,7.62,7.18,17.06,7.47,7.27,7.88,7.75,7.91,3.47,2.4,2.04,3.0,2.39,3.19,-6.01,3.83,3.69,3.34,4.23,2.93,3.7,3.57,3.62,2.94,3.58,3.44,6.04,7.9,8.31,21.63,22.11,23.7,23.05,23.48,25.87,26.62,26.35,25.49,24.93,21.09,21.61,10.57,12.78,10.26,11.54,12.65,10.52,9.87,9.06,9.95,8.37,8.99,8.92,7.39,4.63,5.24,4.56,2.45,1.72,4.05,4.13,4.98,5.24,6.01,7.06,9.6,12.07,11.61,11.42,13.97,15.95,13.57,13.41,12.6,12.15,12.48,11.01,7.95,5.9,7.36,8.31,7.53,7.11,7.55,9.04,7.32,8.05,5.64,6.19,6.1,5.47,5.71,5.76,5.72,4.17,3.25,2.52,3.43,1.57,4.12,2.43,3.56,4.32,2.74,2.47,1.69,2.04,3.41,3.14,2.98,5.67,3.28,4.58,2.18,1.66,1.83,0.91,2.83,3.67,0.91,1.89,2.31,1.14,1.47,1.46,4.1,5.62,8.11,10.7,13.74,14.41,18.2,18.17,20.18,23.47,22.41,25.98,23.9,20.4,22.7,"20,1"
Health,PCPIM_PC_CP_A_PT,Burundi,0,BDI,12.22,12.22,12.59,15.57,14.06,2.42,5.71,5.93,5.93,6.44,-1.24,23.06,15.76,17.18,16.8,14.39,15.0,15.91,12.29,12.29,12.5,12.5,20.67,-3.16,1.15,-0.07,-0.07,-0.6,-0.2,-0.6,-2.22,-0.6,-0.78,-0.78,-0.78,-0.78,29.15,28.76,28.76,28.76,29.25,29.3,31.44,22.66,31.32,36.1,36.1,36.1,4.62,4.93,4.93,4.93,4.93,4.5,4.5,10.16,2.89,-0.72,-0.72,-0.72,0.0,0.0,0.0,0.0,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.3,7.78,8.11,7.79,5.31,5.12,5.49,10.71,11.4,11.4,11.4,11.66,10.68,8.13,6.01,6.33,4.04,3.96,3.58,-1.3,-0.79,-0.79,-0.79,-1.02,-1.02,5.89,7.68,7.68,12.48,12.76,12.78,13.07,11.79,11.79,11.8,11.8,11.8,4.42,4.05,4.54,1.61,2.32,3.59,3.17,2.32,2.42,2.91,3.5,3.11,4.18,10.7,11.07,8.28,9.07,7.74,7.6,10.34,9.75,10.09,9.17,10.07,8.26,3.32,3.11,3.42,1.87,2.49,3.74,2.36,3.87,2.53,3.15,2.26,2.54,2.08,1.55,2.53,2.96,2.77,1.72,0.77,3.05,4.17,3.82,4.6,4.62,4.0,19.97,32.97,35.48,37.18,41.86,42.36,36.48,37.99,38.32,37.62,38.02,37.61,19.33,10.8,9.5,4.8,4.6,5.1,"7,1"
Transport,PCPIT_PC_CP_A_PT,Burundi,0,BDI,26.53,26.43,26.43,39.58,38.89,26.71,29.74,27.15,25.68,27.43,15.41,7.2,-1.57,-1.57,-5.1,-15.01,-14.95,-14.56,-16.1,-13.59,-11.33,-8.39,1.2,0.07,1.47,1.47,5.24,6.53,6.45,5.97,1.21,0.32,-1.21,-1.01,1.08,4.23,11.56,11.69,11.82,14.43,18.27,20.04,25.54,29.56,29.56,25.39,22.79,19.09,9.03,8.96,8.95,6.7,3.13,1.61,-1.97,-5.01,-3.12,3.78,3.78,3.78,5.9,5.84,5.99,5.77,6.06,6.06,9.53,11.66,13.69,9.45,9.45,9.45,9.22,9.29,9.34,9.56,9.57,9.61,7.55,5.8,2.31,1.84,2.15,1.9,0.29,1.68,1.35,1.19,0.99,0.95,0.42,0.46,0.21,0.77,0.24,0.31,2.38,0.82,0.92,0.77,1.26,1.29,2.95,3.67,3.65,3.59,3.79,4.53,5.65,4.61,6.4,9.52,12.36,11.6,8.58,7.64,7.82,11.12,10.08,8.81,11.93,13.15,11.56,9.62,5.79,7.38,7.93,7.11,8.97,6.12,6.99,7.12,3.55,3.03,2.33,1.11,1.2,-0.43,1.79,1.97,0.17,-1.92,-1.84,-1.77,-2.76,-2.27,-1.94,-1.43,-1.19,0.0,-2.18,-1.76,-2.18,-0.26,-0.17,-0.34,1.29,2.23,0.95,0.6,0.77,3.76,1.2,0.68,1.54,1.62,2.74,4.04,1.61,4.54,9.53,19.57,28.26,22.39,26.3,31.5,28.7,"26,4"
Communication,PCPIEC_PC_CP_A_PT,Burundi,0,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.09,0.14,0.18,0.16,0.17,0.17,0.17,1.19,1.32,1.32,16.75,17.45,18.51,18.24,18.2,18.22,18.24,18.33,18.33,17.13,16.97,16.97,1.57,1.0,0.42,0.36,0.37,0.35,0.24,0.2,0.24,0.23,0.23,0.24,0.28,0.8,0.47,0.56,0.58,0.46,0.61,0.53,0.48,0.6,0.6,0.59,0.55,0.22,0.83,0.79,0.77,0.9,0.84,0.88,1.19,1.09,1.19,1.19,1.29,0.99,0.49,0.49,0.59,0.39,0.49,0.39,-0.39,0.1,-0.39,0.29,-0.59,-0.39,-0.49,-0.39,-0.49,-0.29,-0.39,-0.2,0.2,-0.39,0.1,-0.69,0.1,0.69,0.89,0.79,0.89,0.79,0.89,0.79,0.99,0.99,8.37,8.48,8.58,7.54,7.82,7.92,15.04,15.15,15.0,15.2,15.3,"15,1"
Recreation and culture,PCPIR_PC_CP_A_PT,Burundi,0,BDI,-0.84,-2.24,-0.57,-3.0,-3.4,-4.18,-4.01,-2.54,8.67,10.78,8.65,10.78,10.92,10.92,10.92,11.99,12.45,12.45,12.36,14.75,4.41,4.69,9.58,8.88,8.87,7.46,8.22,8.18,8.48,8.48,8.39,5.2,3.82,3.82,0.99,-0.17,0.08,1.39,6.46,6.31,6.02,1.54,12.61,0.28,0.28,13.11,13.27,13.11,12.83,12.81,6.67,6.67,-7.03,-2.94,-14.13,-2.79,-2.79,-13.57,-13.57,-13.57,-13.89,-13.87,-6.86,-6.86,9.55,9.55,11.65,10.76,10.76,10.44,10.44,10.44,11.06,10.7,3.47,4.08,2.27,2.17,3.06,3.46,3.34,2.86,3.99,4.79,4.71,6.03,3.93,4.62,4.79,5.68,4.24,4.36,4.25,5.58,3.89,2.68,3.76,3.27,0.84,0.0,0.64,0.82,1.35,5.11,6.62,4.7,5.54,4.63,3.51,5.09,8.21,8.93,7.57,7.09,8.99,7.08,6.39,7.86,6.88,10.02,9.44,8.08,8.98,8.68,8.58,8.43,6.62,3.66,4.26,3.97,5.81,4.11,5.21,4.1,3.55,3.08,4.22,4.55,3.85,8.35,12.16,12.41,10.13,10.21,8.45,10.62,9.34,9.82,9.53,8.46,10.36,7.3,0.77,1.08,0.23,0.55,1.81,-0.7,3.92,2.88,2.08,0.62,0.23,-0.91,1.15,0.92,0.08,0.0,0.15,1.95,-1.81,-0.68,3.62,4.53,3.1,19.1,29.3,29
