original_language,2022-03-31,Indicator.Name
"et boissons non 4 418 93,9 97,5 96,5","7,3",
"165 110,7 114,3 114,9","5,5",
"799 93,1 97,2 99,5","4,7",
"électricité et autres 2 599 131,7 130,5 129,6","-1,0",
"ménage et entretien 297 110,0 113,9 112,9","1,5",
Santé,"0,8",Healthcare
Transports,"5,4",Transport
Communications,"0,0",Communications
Loisirs et culture,"2,5",culture
Enseignement,"0,4",Education
Restaurants et hôtels,"1,3",Restaurants and hotels
Biens et services divers,"0,7",Miscellaneous goods and services
Indice général,"3,5",General Index
