original_language,2022-08-31,Indicator.Name
"4 418 100,0 107,3 111,2 112,4","14,4",
"165 114,1 113,3 116,6 119,4","9,3",
"799 93,3 98,1 99,3","7,2",
"électricité et autres 2 599 129,6 131,1 128,8 130,8","2,8",
"ménage et entretien 297 111,2 112,6 114,7 113,5","5,5",
Santé,"1,2",Healthcare
Transports,"2,3",Transport
Communications,"0,0",Communications
Loisirs et culture,"6,5",culture
Enseignement,"0,5",Education
Restaurants et hôtels,"1,0",Restaurants and hotels
Biens et services divers,"-0,2",Miscellaneous goods and services
Indice général,"7,7",General Index
