Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Chad,114.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23,-2.14,-1.82,-0.47,1.42,2.1,3.35,3.13,1.87,2.87,5.41,10.73,13.0,11.89,10.35,8.15,6.39,5.96,5.7,8.97,9.14,6.74,3.06,2.06,0.57,1.63,2.49,3.94,2.21,0.18,-2.08,-5.08,-3.73,0.24,2.28,0.9,3.57,-0.21,-0.65,-0.31,0.66,3.01,4.64,1.07,0.96,1.34,2.38,3.71,2.92,4.41,2.65,1.31,3.82,4.72,2.42,6.56,8.34,7.6,4.57,3.17,1.41,1.49,3.22,3.52,0.59,-1.33,0.76,-1.12,-3.34,-4.97,-4.42,-4.44,-4.96,-3.0,-2.14,-2.43,-1.46,-1.35,-2.82,-1.71,-0.86,-0.1,0.98,1.58,2.41,1.0,0.2,2.29,8.48,6.93,5.31,3.76,5.42,5.43,5.45,4.38,2.55,3.46,2.68,0.88,-3.27,-1.37,-2.84,-2.23,-2.84,-3.31,-2.77,-1.68,0.96,3.15,4.65,6.27,3.48,2.96,5.29,8.56,5.29,5.52,4.46,3.04,1.61,-0.56,-0.28,-1.82,-0.45,-0.63,-0.72,-3.06,-0.99,-1.53,-1.64,1.01,1.96,"2,2","3,5",4,5,"5,3","6,1","7,7","7,2","8,3",10,"8,3","8,5"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Chad,115.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.86,-5.6,-4.72,-1.92,0.9,1.6,5.34,4.76,1.64,4.45,8.84,14.01,21.92,20.66,17.08,12.35,8.25,9.99,8.6,14.08,14.02,10.15,3.19,4.48,-0.81,0.52,2.72,2.88,2.99,-2.22,-5.89,-10.99,-7.57,-2.25,1.84,-0.65,1.34,0.15,-1.69,0.52,0.36,5.34,8.27,1.81,2.78,2.95,3.61,4.82,-2.73,-1.58,-2.57,-3.21,-3.07,-5.07,-8.32,0.54,2.21,-4.52,-4.16,-6.17,-1.13,-2.4,0.03,-1.41,-1.7,1.13,-1.28,-6.33,-8.94,-6.83,-8.98,-10.06,-9.01,-7.57,-6.7,-5.64,-3.86,-6.17,-4.12,-2.45,-1.87,-0.16,0.77,2.16,2.65,1.28,-0.27,0.86,0.02,-0.9,-3.76,-4.31,-4.72,-4.24,-4.17,-4.76,-7.29,-6.75,-7.18,-8.87,-7.05,-4.49,-5.07,-5.08,-2.74,-4.2,-3.55,-0.08,4.02,8.03,10.54,12.3,8.85,4.54,9.87,17.19,11.47,11.98,9.52,5.11,0.66,-2.35,-1.37,-2.68,-1.43,-2.54,-0.9,-5.3,-0.98,-2.3,-2.76,2.96,5.93,"6,1","7,3","8,2","10,9","12,9",13,"14,4","12,4","16,5","21,6","16,2","17,3"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Chad,124.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,2.07,2.14,2.83,20.33,22.37,8.94,2.12,1.15,1.35,1.54,3.38,1.74,2.71,1.34,0.38,-14.63,-17.42,-8.03,1.32,1.8,3.23,2.94,0.94,2.37,0.75,0.28,0.85,-1.14,-1.14,-0.09,-1.77,-2.04,-4.14,-3.78,5.93,7.78,7.2,9.86,8.63,11.4,12.44,11.68,11.68,11.66,18.64,22.51,18.55,15.13,19.29,17.31,15.07,17.26,16.13,17.32,13.63,12.86,7.29,4.53,-0.24,0.23,-0.94,8.06,11.45,8.2,5.99,4.78,8.8,9.47,8.78,8.38,5.98,5.39,3.99,-3.97,-5.2,2.37,-5.2,-3.99,-3.59,-3.79,-2.75,-3.14,1.46,-4.53,-3.91,-4.66,-3.25,-9.03,-0.46,-3.72,-5.88,-4.16,-3.48,-6.17,-6.87,-2.49,-0.05,0.44,-2.24,-3.96,-3.32,-0.12,1.12,0.1,-0.7,1.33,-2.68,10.36,9.86,8.66,11.48,9.23,11.81,19.15,22.64,14.1,13.31,13.8,15.36,2.34,1.14,-2.47,-2.99,3.35,1.5,-6.24,-8.94,-3.15,-2.49,-0.6,-1.8,0.88,"1,4","5,5","3,8","-0,7","1,6","4,5","9,3","4,5","3,2","5,1","6,5","6,1"
Clothing and footwear,PCPIA_PC_CP_A_PT,Chad,123.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,-2.02,-1.5,-1.08,-0.76,0.44,1.2,2.16,1.08,1.41,1.73,1.72,0.21,1.74,1.52,2.83,3.27,2.6,2.47,1.27,1.07,1.07,1.38,2.43,3.3,2.78,2.35,1.48,0.74,0.74,0.0,-0.42,0.95,1.06,0.21,-0.82,-0.82,-0.83,-0.42,4.59,0.0,0.63,1.89,1.78,1.46,2.51,2.4,9.24,42.58,50.72,49.16,40.01,49.29,45.58,40.86,41.2,40.41,38.78,38.95,29.61,1.37,-5.27,-1.94,-3.9,-5.3,-1.2,-0.95,-1.51,-2.46,-2.55,-3.81,-2.82,-1.81,3.63,0.8,4.19,2.01,2.35,4.25,3.89,5.52,6.09,7.32,5.68,-9.02,-12.07,-11.95,-11.78,-10.06,-12.6,-13.61,-13.31,-13.31,-13.49,-13.56,-13.05,-5.08,-4.58,-4.3,-4.38,-4.03,-3.81,-1.6,-1.31,-1.58,-1.68,-1.57,-1.65,0.22,-0.22,-0.2,-0.37,1.92,5.15,7.77,7.36,6.43,6.0,6.22,7.2,8.4,8.18,2.76,3.43,0.86,-0.21,-2.83,-5.66,-2.05,-2.47,-1.54,-1.12,1.43,"0,8","4,7","4,7","4,9","4,1","2,3","7,2","5,9","6,9",6,"3,8",1
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Chad,122.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48,-1.02,0.96,0.96,1.04,0.13,-3.55,-2.24,0.95,-1.47,0.32,15.79,8.74,10.22,7.48,4.49,6.79,-1.35,-29.6,2.09,4.15,1.88,0.52,-9.45,-2.76,-0.25,-1.39,7.42,-1.09,6.21,49.0,4.42,-0.79,4.21,4.44,5.54,14.41,-1.5,-0.96,-7.7,-0.58,-2.06,-2.04,-4.42,-5.96,-3.85,-0.99,-0.62,-20.86,-17.6,-18.57,-10.84,-4.56,-5.41,-3.51,-5.6,-4.28,-5.58,-10.4,-11.11,0.57,6.92,9.37,1.8,-3.74,-1.88,-4.96,-4.92,-6.31,-6.85,-3.36,-3.2,-1.39,0.61,0.49,-0.31,-1.16,-1.29,-0.84,0.02,1.11,1.85,0.58,5.43,4.06,2.07,1.57,5.68,28.37,24.7,26.28,23.77,28.76,27.24,27.95,22.56,23.2,24.25,23.16,19.3,0.38,2.85,-1.49,-0.16,-4.03,-3.45,-3.03,-3.44,-3.04,-0.33,0.85,2.95,-2.26,-1.06,-0.38,1.22,-1.42,-0.98,-1.28,-0.83,-0.08,-2.88,-1.35,-4.45,-1.86,-2.65,-1.06,-3.21,-1.15,-1.37,-1.22,-0.53,-1.97,"-1,8",-1,"0,3","-0,3","-2,5","-0,2","2,8","2,6","1,6","0,9","2,5","3,2"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Chad,116.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,-3.68,1.56,2.62,4.01,4.64,5.42,4.86,4.0,3.68,4.73,4.94,6.71,2.21,5.42,5.81,5.58,4.63,5.54,5.65,5.66,5.47,6.83,7.41,5.21,5.91,4.56,3.85,4.32,4.04,3.25,4.29,5.65,6.92,4.32,2.42,2.71,3.16,2.32,4.73,6.54,7.22,7.96,6.4,4.71,6.56,7.66,9.65,22.37,21.92,22.47,20.05,17.59,18.18,17.11,18.04,13.19,12.94,14.71,13.78,12.88,9.89,11.23,12.57,11.84,11.85,11.88,11.88,17.5,12.77,9.78,9.09,-2.25,-0.06,-1.12,-2.9,-2.67,-4.14,-4.37,-4.43,-4.16,-3.21,-2.81,-1.72,-2.68,-2.91,-2.97,-2.48,-2.51,-6.36,-5.81,-6.05,-6.5,-5.48,-5.86,-6.39,-4.71,-4.08,-4.28,-4.38,-4.23,1.1,-0.12,0.27,0.46,0.06,0.24,1.24,3.7,3.02,3.33,3.21,5.09,6.59,8.39,7.55,7.07,7.55,7.57,4.87,2.29,2.56,0.82,-2.93,-4.22,-5.46,-5.87,-2.37,-4.58,-5.09,-2.2,1.79,0.89,1,"1,5","4,8","5,6","6,9","5,6","5,5","8,3","7,6","5,6","3,1","3,6"
Health,PCPIM_PC_CP_A_PT,Chad,119.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.44,-1.39,2.33,2.43,2.14,1.94,3.78,3.98,3.98,3.98,4.17,3.98,4.48,0.66,2.09,2.18,2.57,2.57,0.75,0.75,0.75,0.84,3.63,3.82,3.82,3.91,4.0,5.57,3.99,4.08,4.17,3.89,3.8,4.35,1.17,1.26,1.26,0.54,0.89,-0.79,0.53,0.53,0.0,0.09,0.27,-0.35,-0.27,-0.18,15.84,16.85,15.66,15.78,16.15,16.04,17.08,17.86,17.72,17.77,17.74,17.64,-1.32,-0.36,-0.03,1.03,0.56,0.62,0.48,0.35,0.54,0.5,0.61,0.61,1.53,1.55,1.53,0.43,1.69,0.73,0.51,0.62,0.61,0.37,0.32,0.33,1.57,0.35,-0.24,-0.21,-1.47,-0.74,-0.83,-1.6,-1.95,-1.71,-1.75,-1.75,-1.42,-1.52,-0.94,-0.81,-0.65,-0.43,-0.42,-0.71,-0.48,0.38,0.68,0.68,-0.8,-1.11,-0.61,-0.75,-0.75,1.86,0.55,1.09,1.96,1.09,0.79,2.27,4.02,4.64,2.41,3.31,3.11,0.49,1.58,1.58,0.98,0.78,0.29,-1.26,-0.48,"-0,6","0,8",0,"0,3","0,5",1,"1,2","1,3","1,3","3,3","2,5","1,6"
Transport,PCPIT_PC_CP_A_PT,Chad,126.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,-1.67,0.46,0.56,0.65,2.51,1.94,2.5,2.5,-0.18,1.01,0.92,2.23,3.67,0.18,-0.74,-0.65,5.44,6.45,6.32,6.52,8.3,7.02,13.04,12.84,11.43,12.87,13.81,14.21,5.76,5.29,3.65,3.65,5.37,5.54,-0.4,-0.16,-6.19,-4.64,-3.09,-3.33,-3.25,-3.81,-1.97,-5.98,-8.57,-8.8,-8.26,7.37,11.78,10.04,9.94,11.99,11.19,9.92,8.53,14.07,15.4,15.45,15.8,0.57,8.72,9.0,7.28,5.39,6.06,7.17,7.63,6.75,6.67,6.64,6.34,9.46,0.63,0.27,0.32,1.56,1.62,2.09,2.18,2.21,1.64,2.59,2.72,9.21,13.76,13.64,14.42,11.72,11.62,11.58,7.83,11.35,12.27,11.31,10.88,-8.01,-7.24,-7.06,-7.67,-6.55,-6.52,-6.06,-2.83,-5.94,-5.9,-5.9,-6.0,1.24,0.13,0.59,0.77,0.65,1.96,0.18,0.3,0.87,0.7,0.87,1.14,1.67,1.49,0.61,3.14,5.58,3.18,3.05,5.66,0.43,0.69,0.43,0.09,2.68,"2,9","5,4","1,9","2,6","3,9","4,4","2,3","6,2","5,6","5,3","5,9","3,3"
Communication,PCPIEC_PC_CP_A_PT,Chad,121.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.31,-7.55,-1.8,-7.3,-7.63,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-10.09,-4.99,-9.6,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,55.81,55.81,55.81,55.81,55.81,55.81,54.7,55.81,55.81,55.81,55.81,55.81,-13.99,-8.68,-8.68,-9.73,-9.73,-9.73,-9.73,-9.73,-9.73,-9.73,-9.73,-9.73,11.87,5.37,5.37,6.59,8.5,7.27,7.27,7.27,7.27,7.27,7.27,7.25,0.63,0.63,-0.0,-0.0,-1.77,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.61,-0.62,-0.62,0.01,0.01,0.01,0.0,0.0,0.0,0.0,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,12.34,12.34,12.44,12.34,12.34,12.34,12.37,20.69,12.37,12.37,12.37,12.37,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,-6.89,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Recreation and culture,PCPIR_PC_CP_A_PT,Chad,125.0,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.79,3.5,1.02,2.43,2.91,3.27,3.14,1.37,1.72,0.68,1.03,0.68,0.0,-1.96,1.35,1.69,1.7,1.81,1.13,1.24,1.24,3.39,3.95,3.82,3.9,3.78,3.66,2.56,2.67,2.67,2.9,3.13,3.12,1.09,0.22,0.43,0.32,1.93,2.03,2.49,1.95,1.84,1.95,3.57,4.43,4.65,5.2,44.22,42.6,42.87,36.65,37.85,38.59,39.0,44.02,41.21,39.48,39.68,39.25,0.91,0.59,-0.97,2.92,2.43,3.04,3.03,-0.37,0.23,0.79,0.16,0.36,-0.34,1.82,1.44,1.72,2.03,1.56,1.26,1.11,0.66,0.64,0.92,0.23,0.16,-1.01,-1.14,-0.53,0.61,0.21,0.93,0.91,0.74,1.64,1.64,2.13,-0.39,2.23,2.25,1.79,0.85,0.99,-2.17,-1.1,-0.95,-2.07,-2.07,-2.07,1.7,-0.13,-0.17,-0.42,0.56,5.97,3.02,1.79,3.17,3.17,3.07,3.84,3.34,2.37,1.23,0.95,1.31,-3.03,2.26,2.07,0.56,1.12,1.3,-0.65,-0.65,"-0,1","2,5","3,7","6,2","5,7","6,3","6,5","6,8","6,3","7,7","7,5","7,3"
