original_language,2022-12-31,Indicator.Name
Produits non alcoolisées,"16,2",Non-Alcoholic:
Boissons alcoolisées et tabac,"6,5",Alcoholic beverages and tobacco
Articles chaussures,"3,8",Shoes
"Logement, autres combustibles","2,5","other fuels,"
"Meubles, entretien courant de la maison","3,1","Household items, furniture, home maintenance"
Santé,"2,5",Healthcare
Transports,"5,9",Transport
Communications,"0,0",Communications
Loisirs et culture,"7,5",culture
Enseignement,"-0,4",Teaching
Restaurants et hôtels,"7,3",Restaurants and hotels
Biens et services divers,"1,4",Miscellaneous goods and services
Indice général,"8,3",General Index
