Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Ethiopia,219.0,ETH,19.75,22.92,29.55,29.6,39.12,55.24,64.16,61.66,59.64,55.37,49.36,39.27,37.78,32.82,23.71,23.44,14.16,2.71,-3.67,-3.9,-4.05,-3.67,0.59,7.14,7.64,7.1,7.42,6.75,7.39,7.32,5.68,5.28,7.51,10.64,10.24,14.53,17.68,16.71,25.01,29.48,34.7,38.04,39.21,40.64,40.12,39.8,39.3,35.96,33.97,37.35,32.22,29.48,25.05,20.73,21.2,21.32,20.79,17.31,17.16,14.21,12.18,10.39,7.2,5.6,5.99,6.31,7.3,6.0,6.38,8.05,7.55,7.23,7.2,7.29,8.36,8.74,8.29,8.07,6.76,6.85,4.99,4.72,5.3,6.51,7.07,7.69,8.02,8.78,8.85,9.87,11.16,11.11,11.71,11.45,9.43,9.38,9.64,8.07,6.84,6.75,7.31,6.95,5.43,5.23,6.13,5.0,6.47,6.15,5.94,7.37,9.33,9.39,8.15,8.04,10.38,11.32,12.44,13.01,15.73,16.5,16.65,16.02,15.45,13.96,15.22,16.77,15.29,14.17,11.83,12.14,9.13,10.58,11.07,10.96,11.13,12.89,16.23,15.26,15.49,17.91,18.61,18.71,20.78,19.51,18.69,21.68,22.59,22.86,19.86,21.58,22.33,20.03,18.68,19.34,19.05,18.2,19.27,20.62,20.8,19.33,19.88,24.63,26.42,30.42,34.85,34.33,32.99,35.05,34.43,33.58,34.68,36.6,37.2,34.0,33.5,32.5,"30,7"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Ethiopia,226.0,ETH,27.96,30.17,39.35,39.1,54.11,78.27,91.73,84.99,80.94,72.25,63.33,46.66,44.79,38.88,26.51,25.37,11.62,-3.39,-12.39,-12.79,-13.64,-12.74,-8.05,0.65,0.44,-0.19,-0.13,-0.83,0.06,-0.04,-1.55,-1.06,1.4,5.44,5.84,8.94,13.57,12.78,25.55,32.18,40.71,45.28,47.41,49.92,51.26,51.66,50.27,46.67,44.16,49.56,41.08,38.02,31.41,25.37,24.92,25.17,22.94,17.4,17.22,15.24,12.71,9.33,5.23,1.55,3.35,3.67,5.81,3.85,4.32,7.78,6.75,5.78,5.11,4.68,6.06,8.05,6.35,6.23,5.82,5.19,3.8,2.91,4.77,6.47,7.15,9.57,10.1,10.81,10.14,12.53,13.76,14.73,16.05,16.23,11.46,12.11,12.41,9.16,7.31,6.23,8.36,7.16,4.05,4.35,6.08,3.41,6.11,5.27,5.44,8.03,11.17,13.03,10.21,9.35,11.58,10.67,10.84,13.9,15.77,15.44,15.64,16.4,13.65,11.27,11.85,14.12,13.46,13.69,10.66,9.55,9.33,11.43,11.48,10.75,11.38,14.48,20.69,19.79,20.02,22.96,23.31,23.19,24.53,22.72,22.01,25.15,26.89,25.9,20.31,23.07,25.0,21.96,21.22,23.17,22.13,21.31,23.17,22.77,22.27,21.92,23.93,28.95,31.99,37.57,41.93,40.7,38.91,41.62,39.9,41.83,43.47,42.9,43.9,38.1,35.5,33.2,31
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Ethiopia,220.0,ETH,7.04,12.2,17.96,14.77,18.34,27.81,42.89,46.9,47.91,49.97,48.54,47.73,49.43,44.83,38.19,41.46,37.46,28.51,17.02,12.99,12.18,12.2,12.61,12.33,11.7,9.76,11.62,13.01,11.98,12.57,10.23,10.67,13.3,19.41,20.97,23.26,23.46,20.69,19.97,19.83,29.26,33.89,35.62,35.87,34.2,25.6,24.41,22.76,24.32,28.84,28.5,25.3,14.18,4.96,7.06,3.36,6.99,9.26,8.37,10.42,6.92,6.89,7.39,5.33,6.64,12.19,9.42,12.77,10.02,11.17,14.72,13.03,14.37,15.89,16.62,16.36,17.03,14.93,18.07,20.41,16.07,12.42,11.28,12.91,15.03,12.79,12.53,17.4,18.8,15.51,13.39,7.79,9.26,11.29,7.64,10.11,9.51,10.92,7.01,2.73,-4.27,-2.54,-2.47,-2.43,-1.82,0.2,5.35,3.12,5.48,1.29,2.4,1.32,5.28,4.3,10.32,13.0,19.54,16.39,10.07,14.92,9.2,12.45,15.5,8.72,8.12,13.53,8.28,9.82,4.52,0.13,4.06,0.21,8.29,0.61,1.06,14.25,19.33,13.24,11.18,12.5,15.33,20.08,16.71,14.71,2.74,12.56,25.21,27.34,30.44,33.23,28.79,23.79,22.17,23.96,28.53,32.71,34.36,33.88,19.3,12.15,7.21,19.13,26.43,24.18,32.52,31.4,29.5,27.78,31.54,32.04,44.09,43.2,42.1,38.0,25.8,35.2,40
Clothing and footwear,PCPIA_PC_CP_A_PT,Ethiopia,225.0,ETH,14.27,16.23,15.61,14.62,19.48,21.82,21.52,24.25,24.27,26.07,28.58,29.38,29.54,31.59,30.91,32.36,28.68,27.96,28.7,28.22,26.94,26.35,25.72,24.56,27.22,25.38,25.23,23.95,25.39,24.19,22.67,21.43,24.52,25.13,23.35,29.51,28.85,29.45,30.78,33.04,33.97,35.82,35.51,34.47,32.38,33.5,34.47,36.81,35.21,33.15,32.83,32.51,31.3,28.85,29.55,28.7,28.93,22.81,21.82,14.0,12.74,13.29,12.07,11.2,8.79,10.08,10.6,10.67,10.52,12.91,12.6,12.46,13.31,11.43,10.84,10.11,10.68,11.21,8.39,9.97,8.64,9.81,9.5,10.33,9.94,10.94,10.15,9.52,10.29,8.42,10.89,8.89,8.07,7.15,5.82,5.35,4.65,3.34,5.73,4.96,4.73,4.56,2.74,1.05,3.07,1.87,3.24,2.7,1.88,3.76,1.44,2.17,2.54,3.25,16.27,18.66,16.33,15.67,16.8,27.56,30.12,21.69,24.4,28.11,33.04,37.77,20.75,20.67,23.69,27.61,20.52,15.55,15.53,23.23,19.95,15.23,12.76,7.22,14.06,9.44,9.02,6.98,12.42,8.87,8.56,2.38,6.57,8.61,7.42,14.59,7.35,11.59,7.74,12.19,12.24,10.93,10.71,23.68,14.46,20.63,22.38,14.61,22.81,24.63,28.23,25.36,25.56,26.46,25.31,19.78,20.17,21.9,26.4,28.7,30.3,42.9,"30,7"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Ethiopia,217.0,ETH,6.47,11.45,16.57,17.7,18.39,25.12,25.3,27.64,28.24,30.5,27.7,28.12,27.06,21.64,14.3,15.7,14.86,8.8,11.0,11.15,14.15,11.86,15.71,17.05,18.52,18.93,20.46,19.51,18.72,20.1,17.93,14.43,16.33,16.48,12.87,22.34,23.31,21.04,23.15,23.37,23.6,24.24,22.93,23.28,18.12,17.4,19.15,12.11,12.4,15.46,15.97,15.29,14.12,9.64,14.51,17.19,23.36,21.81,23.48,16.99,15.03,14.59,9.66,13.21,11.26,14.19,14.11,11.61,9.0,8.71,7.8,9.67,10.72,13.5,15.79,11.75,14.87,14.2,7.37,8.84,9.33,10.02,7.88,9.14,10.02,6.44,5.95,8.02,9.38,9.76,12.9,11.11,6.94,6.28,10.84,7.4,7.93,9.45,9.47,11.84,11.63,12.28,14.16,14.13,13.63,15.27,12.69,14.53,13.57,11.38,12.74,6.96,5.07,5.8,7.74,13.81,18.77,12.65,22.44,23.49,22.22,18.87,20.84,21.66,25.53,25.75,21.38,14.85,11.7,17.35,3.27,6.11,6.45,8.08,8.92,7.88,7.46,6.27,6.92,11.52,12.34,13.45,20.23,21.11,22.64,29.78,24.73,25.75,22.14,21.39,21.45,17.4,18.12,14.58,15.16,11.35,11.45,11.11,15.6,9.07,9.51,18.15,14.42,17.46,20.03,21.04,18.47,23.49,23.01,17.83,14.75,24.2,20.5,16.8,22.6,16.9,"16,5"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Ethiopia,221.0,ETH,19.74,24.5,28.05,27.13,29.97,32.27,32.96,35.59,34.05,34.35,32.61,31.16,28.89,25.21,21.63,22.63,19.47,17.36,17.69,17.42,18.07,16.44,17.89,20.12,21.74,20.03,21.09,20.28,20.53,21.57,19.02,18.77,19.53,24.01,23.56,24.32,24.61,21.07,22.51,24.7,24.76,26.77,29.62,28.32,27.84,24.53,24.6,25.67,23.28,24.4,20.7,17.49,16.1,24.67,21.51,20.8,18.51,17.0,14.7,10.76,10.72,10.72,10.72,10.72,10.72,0.0,0.0,0.0,7.26,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,-0.65,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,1.47,2.52,7.1,7.74,8.97,10.43,10.93,12.03,12.38,16.87,16.66,19.91,20.24,22.47,17.82,21.71,19.15,21.47,20.0,20.11,20.72,15.88,18.14,17.38,15.82,13.75,14.33,11.79,14.38,11.72,12.85,11.5,11.12,11.57,10.49,9.51,8.07,8.06,7.79,6.42,6.26,5.36,5.91,6.11,5.67,5.36,5.61,6.85,14.19,18.06,22.57,25.19,29.4,33.57,37.96,40.14,40.93,42.84,44.71,44.52,42.14,44.35,46.2,48.9,50.9,51.5,50.2,49
Health,PCPIM_PC_CP_A_PT,Ethiopia,228.0,ETH,8.67,8.24,5.93,7.81,9.42,12.06,14.18,12.97,13.91,15.5,15.6,13.69,12.95,12.83,16.08,14.38,15.9,15.87,15.82,14.23,13.61,13.96,14.57,18.49,20.34,20.4,18.2,18.9,16.33,14.05,13.05,12.5,12.42,13.74,15.19,13.71,11.98,10.1,10.35,9.66,10.81,11.47,12.82,12.99,13.78,11.54,10.28,10.8,11.32,13.09,7.12,10.79,8.23,9.62,9.04,9.43,10.37,25.21,26.19,28.11,26.02,21.5,27.65,24.58,28.37,26.4,18.96,18.8,26.07,11.74,11.02,9.13,9.94,13.79,14.86,14.93,11.93,12.35,15.99,19.81,8.34,8.49,7.95,6.66,7.65,9.46,7.26,4.8,3.39,3.65,6.73,4.15,7.73,7.79,11.49,9.99,11.0,6.03,7.46,10.81,14.98,13.58,9.32,7.6,7.8,9.15,4.9,8.17,6.09,14.37,13.19,11.74,17.68,19.62,1.78,1.8,3.24,-5.99,-4.34,-7.41,-1.54,-5.38,-5.6,-4.02,-13.25,-14.25,13.61,10.4,7.55,18.7,16.83,21.65,13.82,14.96,19.79,14.09,14.6,11.31,5.84,13.56,17.37,13.16,13.64,16.51,10.9,13.03,12.71,18.25,32.65,24.11,30.18,18.0,20.01,20.29,21.16,27.78,29.92,29.93,32.92,32.45,22.44,42.62,35.08,45.76,39.33,43.16,50.89,33.27,41.05,37.87,30.99,32.9,31.6,26.4,24.0,26.6,"22,6"
Transport,PCPIT_PC_CP_A_PT,Ethiopia,227.0,ETH,0.48,12.23,12.44,11.94,12.05,11.18,11.92,11.92,11.73,23.78,18.78,13.34,9.11,-4.05,-4.12,-3.56,-1.01,2.71,8.2,9.47,13.31,4.31,12.99,20.45,26.99,28.29,27.79,31.18,30.61,23.28,17.35,16.73,13.43,16.72,15.55,18.82,25.27,28.35,35.59,41.94,41.44,43.66,43.55,42.15,41.13,32.05,24.59,24.51,17.47,14.19,9.33,1.33,-0.48,0.31,-0.56,-0.14,-0.28,3.72,5.37,2.39,-1.65,-0.82,-1.5,-1.29,-3.4,-2.9,-2.68,-2.39,-2.61,-1.82,-2.0,-0.97,2.47,3.6,2.94,2.79,5.51,4.74,5.43,3.84,4.72,3.56,2.37,1.37,-0.2,-3.39,-2.89,-4.01,-4.63,-4.65,-4.77,-1.14,-1.57,-2.06,-0.98,-0.12,1.01,1.16,0.6,3.46,-0.52,4.01,3.11,0.56,1.3,0.75,1.57,1.01,2.6,10.58,7.43,5.2,11.46,7.25,7.53,8.93,8.71,8.8,10.59,9.53,8.4,4.79,8.81,8.75,7.7,7.95,9.25,8.8,7.78,8.55,9.08,12.25,15.5,14.6,16.81,15.61,18.02,17.06,16.85,15.22,21.24,19.47,15.75,14.36,13.45,14.63,13.14,28.1,47.81,60.28,69.63,73.52,39.22,22.18,23.44,22.26,22.73,40.96,45.28,24.95,8.06,-3.04,-8.21,-10.69,8.0,19.61,23.34,24.08,25.34,6.8,-3.28,0.9,7.2,11.9,21.6,30.2,"28,6"
Communication,PCPIEC_PC_CP_A_PT,Ethiopia,218.0,ETH,0.48,12.23,12.44,11.94,12.05,11.18,11.92,11.92,11.73,23.78,18.78,13.34,9.11,-4.05,-4.12,-3.56,-1.01,2.71,8.2,9.47,13.31,4.31,12.99,20.45,26.99,28.29,27.79,31.18,30.61,23.28,17.35,16.73,13.43,16.72,15.55,18.82,25.27,28.35,35.59,41.94,41.44,43.66,43.55,42.15,41.13,32.05,24.59,24.51,16.71,14.35,8.41,0.33,-1.51,-1.01,-1.25,-0.93,-0.72,1.33,3.71,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,2.08,2.08,2.23,-0.57,2.75,11.58,2.16,2.11,2.28,2.44,0.79,-0.97,0.23,0.2,0.34,0.39,-2.22,-9.83,-1.49,-1.18,-1.35,-1.48,-0.18,0.1,0.7,0.75,0.36,1.95,1.69,2.55,2.97,4.2,3.22,4.66,6.31,7.34,4.85,5.38,4.74,7.41,6.39,1.07,-0.87,-2.82,-3.0,-3.51,-4.34,-4.58,-3.27,-1.31,-0.28,-2.72,-1.16,0.9,1.89,3.41,-0.02,-1.65,-0.29,0.3,0.33,5.53,1.72,-0.5,-0.07,1.94,1.81,-0.87,3.49,4.98,19.97,23.18,22.62,11.78,15.31,9.94,14.94,14.11,15.25,15.9,16.6,17.16,4.37,1.82,1.1,3.0,5.5,14.4,8.4,"11,9"
Recreation and culture,PCPIR_PC_CP_A_PT,Ethiopia,223.0,ETH,6.49,7.81,9.8,10.09,9.57,12.29,14.61,15.98,14.3,14.98,17.41,18.27,16.75,16.69,16.76,18.1,19.22,17.71,18.46,17.36,18.27,16.97,13.84,16.39,17.06,14.85,14.86,13.75,14.31,14.26,11.47,12.25,16.75,26.55,30.39,26.0,28.24,28.8,25.78,28.08,26.72,27.84,32.27,29.79,25.78,18.16,16.69,21.27,18.39,19.59,22.12,19.25,20.6,16.78,14.88,15.97,15.03,15.32,14.6,11.0,11.26,11.75,9.73,10.83,9.33,11.44,11.28,11.93,9.4,8.85,8.98,11.08,9.84,8.47,1.15,1.23,1.32,1.23,0.03,-1.94,-0.31,-2.87,-1.73,-2.53,-3.26,-1.94,4.91,4.1,3.98,3.49,4.68,11.04,12.32,14.84,13.55,12.98,15.53,17.22,17.53,18.15,16.83,18.07,15.89,10.01,10.51,10.02,11.54,13.02,10.67,7.27,8.03,18.1,24.56,20.16,21.2,22.98,17.96,15.97,16.88,14.9,18.53,18.48,20.18,9.06,6.42,9.59,8.76,7.67,8.7,10.9,8.23,9.52,6.65,9.0,6.71,6.04,6.56,4.3,3.85,4.92,8.92,11.89,16.32,11.37,15.66,12.37,11.18,11.15,10.39,8.02,10.79,8.0,5.33,5.87,5.73,14.96,11.73,12.41,17.63,22.0,23.06,30.42,28.89,32.88,43.04,47.79,44.06,38.86,43.54,46.74,48.14,44.6,46.7,47.2,46.5,47.6,"59,3"
