Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,152.24,21.3
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,150.37,16.3
Clothing and footwear 8.1,,140.13,15.6
"Housing, water, electricity, gas and other fuels 10.2",,190.9,25.0
"Furnishings, household equipment and routine household ma3i.n2tenance",,147.33,28.5
Health 0.7,,131.78,10.0
Transport 10.1,,169.99,33.5
Information and communication 3.6,,130.82,15.5
"Recreation, sport and culture 3.5",,141.83,22.3
Education services 6.5,,112.55,3.7
Restaurants and accommodation services 4.6,,134.02,16.5
Insurance and financial services 0.2,,112.16,2.1
"Personal care, social protection and miscellaneous goods an2d. 4services",,144.21,23.2
