Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,140.4,14.5
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,139.47,9.0
Clothing and footwear 8.1,,130.29,9.5
"Housing, water, electricity, gas and other fuels 10.2",,180.34,25.4
"Furnishings, household equipment and routine household ma3i.n2tenance",,129.76,14.4
Health 0.7,,126.07,6.9
Transport 10.1,,148.56,18.3
Information and communication 3.6,,123.97,10.2
"Recreation, sport and culture 3.5",,128.72,12.7
Education services 6.5,,109.44,1.3
Restaurants and accommodation services 4.6,,125.56,10.6
Insurance and financial services 0.2,,111.36,2.9
"Personal care, social protection and miscellaneous goods an2d. 4services",,131.22,13.5
