Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,138.1,14.1
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,137.24,8.0
Clothing and footwear 8.1,,128.1,8.3
"Housing, water, electricity, gas and other fuels 10.2",,178.1,28.7
"Furnishings, household equipment and routine household ma3i.n2tenance",,125.04,11.0
Health 0.7,,123.65,5.4
Transport 10.1,,146.4,17.4
Information and communication 3.6,,120.59,8.9
"Recreation, sport and culture 3.5",,126.3,12.0
Education services 6.5,,108.87,0.9
Restaurants and accommodation services 4.6,,123.82,9.1
Insurance and financial services 0.2,,110.64,6.3
"Personal care, social protection and miscellaneous goods an2d. 4services",,127.18,10.8
