Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,169.06,31.3
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,160.09,21.2
Clothing and footwear 8.1,,153.57,24.7
"Housing, water, electricity, gas and other fuels 10.2",,220.26,43.0
"Furnishings, household equipment and routine household ma3i.n2tenance",,165.97,42.0
Health 0.7,,137.49,14.1
Transport 10.1,,197.71,44.6
Information and communication 3.6,,131.75,14.3
"Recreation, sport and culture 3.5",,157.15,33.8
Education services 6.5,,115.56,5.1
Restaurants and accommodation services 4.6,,141.16,20.9
Insurance and financial services 0.2,,116.47,5.3
"Personal care, social protection and miscellaneous goods an2d. 4services",,159.59,33.7
