Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,158.44,25.7
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,153.82,18.5
Clothing and footwear 8.1,,145.86,20.2
"Housing, water, electricity, gas and other fuels 10.2",,202.24,32.3
"Furnishings, household equipment and routine household ma3i.n2tenance",,153.68,33.8
Health 0.7,,133.44,11.3
Transport 10.1,,179.45,39.0
Information and communication 3.6,,132.49,16.8
"Recreation, sport and culture 3.5",,147.2,26.8
Education services 6.5,,113.48,4.2
Restaurants and accommodation services 4.6,,135.75,18.1
Insurance and financial services 0.2,,113.21,3.1
"Personal care, social protection and miscellaneous goods an2d. 4services",,149.37,27.3
