Indicator.Name,Indicator.Code,2022-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,24.3
Clothing and footwear,PCPIA_PC_CP_A_PT,30.8
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,69.6
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,55.7
Health,PCPIM_PC_CP_A_PT,26.1
Transport,PCPIT_PC_CP_A_PT,46.3
Communication,PCPIEC_PC_CP_A_PT,15.7
Recreation and culture,PCPIR_PC_CP_A_PT,38.1
Education,PCPIED_PC_CP_A_PT,9.5
Restaurants and hotels,PCPIRE_PC_CP_A_PT,11.0
Insurance and Financial Services,,13.0
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,45.5
