Indicator.Name,Percentage change
Non-food Inflation rate 56.9,37.8
"Alcoholic Beverages, Tobacco & Narcotics 343.79",24.3
Clothing and footwear 82.86,30.8
"Housing, water, electricity, gas and other fuels 124.19",69.6
"Furnishings, household equipment and routine household m4a0i.n6t8enance",55.7
Health 8.49,26.1
Transport 95.42,46.3
Information and communication 15.95,15.7
"Recreation, sport and culture 21.86",38.1
Education services 75.67,9.5
Restaurants and accommodation services 28.02,11.0
Insurance and financial services 11.00,13.0
"Personal care, social protection and miscellaneous goods a1n8d. 8s6ervices",45.5
