Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,125.36,10.2
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,129.332,8.0
Clothing and footwear 8.1,,121.214,7.1
"Housing, water, electricity, gas and other fuels 10.2",,152.675,25.0
"Furnishings, household equipment and routine household ma3i.n2tenance",,114.647,4.9
Health 0.7,,119.856,7.4
Transport 10.1,,127.358,9.6
Information and communication 3.6,,113.26,7.4
"Recreation, sport and culture 3.5",,115.982,5.1
Education services 6.5,,108.572,0.6
Restaurants and accommodation services 4.6,,114.991,6.7
Insurance and financial services 0.2,,109.809,9.0
"Personal care, social protection and miscellaneous goods an2d. 4services",,117.046,5.2
