Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,129.14,8.7
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,131.98,6.4
Clothing and footwear 8.1,,123.21,6.5
"Housing, water, electricity, gas and other fuels 10.2",,155.56,15.2
"Furnishings, household equipment and routine household ma3i.n2tenance",,117.73,6.0
Health 0.7,,120.92,6.3
Transport 10.1,,137.69,12.8
Information and communication 3.6,,116.41,7.1
"Recreation, sport and culture 3.5",,117.74,6.3
Education services 6.5,,108.39,0.3
Restaurants and accommodation services 4.6,,115.88,4.0
Insurance and financial services 0.2,,110.63,7.1
"Personal care, social protection and miscellaneous goods an2d. 4services",,120.29,6.0
