Indicator.Name,Indicator.Code,2022-08-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,23.7
Clothing and footwear,PCPIA_PC_CP_A_PT,26.2
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,46.7
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,44.7
Health,PCPIM_PC_CP_A_PT,16.2
Transport,PCPIT_PC_CP_A_PT,45.7
Communication,PCPIEC_PC_CP_A_PT,15.0
Recreation and culture,PCPIR_PC_CP_A_PT,36.4
Education,PCPIED_PC_CP_A_PT,7.2
Restaurants and hotels,PCPIRE_PC_CP_A_PT,22.4
Insurance and Financial Services,,5.4
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,36.0
