Indicator.Name,Percentage change
Non-food Inflation rate 56.9,33.6
"Alcoholic Beverages, Tobacco & Narcotics 3.7",23.7
Clothing and footwear 8.1,26.2
"Housing, water, electricity, gas and other fuels 10.2",46.7
"Furnishings, household equipment and routine household ma3i.n2tenance",44.7
Health 0.7,16.2
Transport 10.1,45.7
Information and communication 3.6,15.0
"Recreation, sport and culture 3.5",36.4
Education services 6.5,7.2
Restaurants and accommodation services 4.6,22.4
Insurance and financial services 0.2,5.4
"Personal care, social protection and miscellaneous goods an2d. 4services",36.0
