Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,135.12,12.5
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,137.43,9.6
Clothing and footwear 8.1,,127.65,8.6
"Housing, water, electricity, gas and other fuels 10.2",,165.92,20.7
"Furnishings, household equipment and routine household ma3i.n2tenance",,123.16,9.6
Health 0.7,,123.07,6.0
Transport 10.1,,145.0,17.6
Information and communication 3.6,,119.92,9.0
"Recreation, sport and culture 3.5",,124.02,11.4
Education services 6.5,,108.83,1.0
Restaurants and accommodation services 4.6,,123.22,8.9
Insurance and financial services 0.2,,110.64,6.3
"Personal care, social protection and miscellaneous goods an2d. 4services",,126.07,10.6
