Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,122.65,8.8
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,127.93,7.2
Clothing and footwear 8.1,,118.98,6.2
"Housing, water, electricity, gas and other fuels 10.2",,143.76,23.4
"Furnishings, household equipment and routine household ma3i.n2tenance",,113.39,5.0
Health 0.7,,117.91,6.9
Transport 10.1,,125.58,6.2
Information and communication 3.6,,112.52,8.4
"Recreation, sport and culture 3.5",,114.19,3.9
Education services 6.5,,108.03,0.4
Restaurants and accommodation services 4.6,,113.52,5.4
Insurance and financial services 0.2,,108.24,7.4
"Personal care, social protection and miscellaneous goods an2d. 4services",,115.66,4.3
