Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,120.99,7.7
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,127.1,7.4
Clothing and footwear 8.1,,118.26,7.2
"Housing, water, electricity, gas and other fuels 10.2",,138.33,19.0
"Furnishings, household equipment and routine household ma3i.n2tenance",,112.64,4.5
Health 0.7,,117.35,6.9
Transport 10.1,,124.69,5.4
Information and communication 3.6,,110.7,6.7
"Recreation, sport and culture 3.5",,112.77,3.0
Education services 6.5,,107.93,0.3
Restaurants and accommodation services 4.6,,113.54,4.8
Insurance and financial services 0.2,,104.11,3.3
"Personal care, social protection and miscellaneous goods an2d. 4services",,114.77,3.8
