Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,127.06,8.2
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,130.08,6.5
Clothing and footwear 8.1,,121.64,6.0
"Housing, water, electricity, gas and other fuels 10.2",,153.36,14.2
"Furnishings, household equipment and routine household ma3i.n2tenance",,115.53,4.7
Health 0.7,,120.0,6.0
Transport 10.1,,133.12,13.4
Information and communication 3.6,,113.68,4.9
"Recreation, sport and culture 3.5",,116.12,3.6
Education services 6.5,,108.95,0.9
Restaurants and accommodation services 4.6,,115.74,4.8
Insurance and financial services 0.2,,109.81,5.5
"Personal care, social protection and miscellaneous goods an2d. 4services",,117.87,4.5
