Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,126.02,9.2
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,129.83,7.3
Clothing and footwear 8.1,,121.36,6.5
"Housing, water, electricity, gas and other fuels 10.2",,152.84,19.9
"Furnishings, household equipment and routine household ma3i.n2tenance",,114.87,4.6
Health 0.7,,119.89,8.4
Transport 10.1,,129.08,11.7
Information and communication 3.6,,113.4,5.1
"Recreation, sport and culture 3.5",,116.09,3.6
Education services 6.5,,108.91,0.8
Restaurants and accommodation services 4.6,,114.99,6.0
Insurance and financial services 0.2,,109.81,9.0
"Personal care, social protection and miscellaneous goods an2d. 4services",,117.31,4.4
