Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,133.48,11.6
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,135.69,9.2
Clothing and footwear 8.1,,126.61,8.4
"Housing, water, electricity, gas and other fuels 10.2",,164.18,20.5
"Furnishings, household equipment and routine household ma3i.n2tenance",,121.34,8.4
Health 0.7,,122.37,7.5
Transport 10.1,,142.86,16.0
Information and communication 3.6,,118.67,8.0
"Recreation, sport and culture 3.5",,123.15,10.6
Education services 6.5,,108.77,1.0
Restaurants and accommodation services 4.6,,117.95,4.4
Insurance and financial services 0.2,,110.64,7.1
"Personal care, social protection and miscellaneous goods an2d. 4services",,123.93,9.1
