Indicator.Name,Unnamed: 1,Unnamed: 2,Percentage change
Non-food Inflation rate 56.9,,145.53,17.0
"Alcoholic Beverages, Tobacco & Narcotics 3.7",,142.77,11.4
Clothing and footwear 8.1,,133.85,12.2
"Housing, water, electricity, gas and other fuels 10.2",,183.37,21.4
"Furnishings, household equipment and routine household ma3i.n2tenance",,134.71,18.5
Health 0.7,,128.92,8.8
Transport 10.1,,161.19,27.6
Information and communication 3.6,,127.78,13.4
"Recreation, sport and culture 3.5",,133.95,17.0
Education services 6.5,,111.19,2.9
Restaurants and accommodation services 4.6,,128.82,12.6
Insurance and financial services 0.2,,111.91,3.0
"Personal care, social protection and miscellaneous goods an2d. 4services",,135.9,17.0
