Indicator.Name,Indicator.Code,2022-12-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,38.5
Clothing and footwear,PCPIA_PC_CP_A_PT,41.9
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,82.3
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,71.5
Health,PCPIM_PC_CP_A_PT,34.4
Transport,PCPIT_PC_CP_A_PT,71.4
Communication,PCPIEC_PC_CP_A_PT,21.5
Recreation and culture,PCPIR_PC_CP_A_PT,42.4
Education,PCPIED_PC_CP_A_PT,11.3
Restaurants and hotels,PCPIRE_PC_CP_A_PT,9.2
Insurance and Financial Services,,10.8
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,60.9
