Indicator.Name,Percentage change
Non-food Inflation rate 56.9,49.9
"Alcoholic Beverages, Tobacco & Narcotics 343.79",38.5
Clothing and footwear 82.86,41.9
"Housing, water, electricity, gas and other fuels 124.19",82.3
"Furnishings, household equipment and routine household m4a0i.n6t8enance",71.5
Health 8.49,34.4
Transport 95.42,71.4
Information and communication 15.95,21.5
"Recreation, sport and culture 21.86",42.4
Education services 75.67,11.3
Restaurants and accommodation services 28.02,9.2
Insurance and financial services 11.00,10.8
"Personal care, social protection and miscellaneous goods a1n8d. 8s6ervices",60.9
