Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Ghana,242.0,GHA,12.81,13.21,13.79,15.29,16.88,18.41,18.31,18.1,17.89,17.3,17.44,18.13,19.86,20.34,20.53,20.56,20.06,20.74,20.5,19.65,18.37,18.04,16.92,15.97,14.78,14.23,13.32,11.66,10.68,9.52,9.46,9.44,9.38,9.38,9.08,8.58,9.08,9.16,9.13,9.02,8.9,8.59,8.39,8.41,8.4,8.56,8.55,8.58,8.73,9.29,10.14,10.68,11.36,11.94,12.04,11.66,11.5,11.77,12.43,12.59,10.09,10.4,10.78,10.87,11.02,11.63,11.79,11.45,11.95,13.09,13.22,13.5,13.8,14.03,14.52,14.69,14.84,14.99,15.32,15.89,16.47,16.94,17.05,16.99,16.44,16.5,16.64,16.76,16.91,17.08,17.94,17.32,17.36,17.38,17.58,17.69,18.99,18.47,19.22,18.71,18.89,18.37,16.72,16.86,17.21,15.77,15.52,15.36,13.35,13.24,12.78,13.04,12.58,12.1,11.86,12.34,12.17,11.64,11.74,11.82,10.35,9.91,8.96,7.96,7.78,7.48,7.18,7.63,7.72,7.01,6.31,5.8,5.88,6.09,6.53,6.46,7.02,7.5,7.49,7.7,7.54,7.62,8.03,7.76,7.73,7.7,7.72,10.52,11.2,11.1,11.33,10.45,10.3,10.14,9.75,10.47,9.94,10.29,10.33,8.52,7.52,7.81,8.96,9.68,10.58,11.04,12.29,12.62,13.9,15.74,19.36,23.63,27.62,29.82,31.7,33.6
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Ghana,243.0,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.5,7.0,8.4,7.2,7.8,7.9,8.4,14.4,15.1,13.8,13.7,11.4,11.2,12.6,11.7,14.1,12.8,12.3,10.8,6.5,5.4,7.3,9.5,10.9,11.5,11.0,13.1,12.8,13.7,17.4,22.4,26.6,30.1,,32.3,34.4
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.2,,8.0,7.3,6.5,,6.4,,10.0,9.2,9.6,8.0,9.0,11.4,16.3,18.5,,21.2,23.7
Clothing and footwear,PCPIA_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,6.2,,7.1,6.5,6.0,,6.5,,7.7,8.4,8.6,8.3,9.5,12.2,15.6,20.2,,24.7,26.2
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,23.4,,25.0,19.9,14.2,,15.2,,20.6,20.5,20.7,28.7,25.4,21.4,25.0,32.3,,43.0,46.7
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.0,,4.9,4.6,4.7,,6.0,,7.3,8.4,9.6,11.0,14.4,18.5,28.5,33.8,,42.0,44.7
Health,PCPIM_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,6.9,,7.4,8.4,6.0,,6.3,,5.2,7.5,6.0,5.4,6.9,8.8,10.0,11.3,,14.1,16.2
Transport,PCPIT_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.2,,9.6,11.7,13.4,,12.8,,14.9,16.0,17.6,17.4,18.3,27.6,33.5,39.0,,44.6,45.7
Communication,PCPIEC_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,8.4,,7.4,5.1,4.9,,7.1,,7.8,8.0,9.0,8.9,10.2,13.4,15.5,16.8,,14.3,15.0
Recreation and culture,PCPIR_PC_CP_A_PT,Ghana,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.9,,5.1,3.6,3.6,,6.3,,7.2,10.6,11.4,12.0,12.7,17.0,22.3,26.8,,33.8,36.4
