iso_code,country,continent
DZA,Algeria,Africa
AGO,Angola,Africa
BEN,Benin,Africa
BWA,Botswana,Africa
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
CMR,Cameroon,Africa
CPV,Cape Verde,Africa
CAF,Central African Republic,Africa
TCD,Chad,Africa
COM,Comoros,Africa
COG,Congo,Africa
CIV,Cote d'Ivoire,Africa
COD,Democratic Republic of Congo,Africa
DJI,Djibouti,Africa
EGY,Egypt,Africa
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
SWZ,Eswatini,Africa
ETH,Ethiopia,Africa
GAB,Gabon,Africa
GMB,Gambia,Africa
GHA,Ghana,Africa
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
KEN,Kenya,Africa
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
MDG,Madagascar,Africa
MWI,Malawi,Africa
MLI,Mali,Africa
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MAR,Morocco,Africa
MOZ,Mozambique,Africa
NAM,Namibia,Africa
NER,Niger,Africa
NGA,Nigeria,Africa
RWA,Rwanda,Africa
SHN,Saint Helena,Africa
STP,Sao Tome and Principe,Africa
SEN,Senegal,Africa
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SOM,Somalia,Africa
ZAF,South Africa,Africa
SSD,South Sudan,Africa
SDN,Sudan,Africa
TZA,Tanzania,Africa
TGO,Togo,Africa
TUN,Tunisia,Africa
UGA,Uganda,Africa
ESH,Western Sahara,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
