imf_code,iso_code,country
612,DZA,Algeria
614,AGO,Angola
638,BEN,Benin
616,BWA,Botswana
748,BFA,Burkina Faso
618,BDI,Burundi
624,CPV,Cabo Verde
622,CMR,Cameroon
626,CAF,Central African Republic
628,TCD,Chad
632,COM,Comoros
636,COD,Democratic Republic of the
634,COG,Republic of Congo
662,CIV,Côte d'Ivoire
611,DJI,Djibouti
469,EGY,Egypt
642,GNQ,Equatorial Guinea
643,ERI,Eritrea
734,SWZ,Eswatini
644,ETH,Ethiopia
646,GAB,Gabon
648,GMB,The Gambia
652,GHA,Ghana
656,GIN,Guinea
654,GNB,Guinea-Bissau
664,KEN,Kenya
666,LSO,Lesotho
668,LBR,Liberia
672,LBY,Libya
674,MDG,Madagascar
676,MWI,Malawi
678,MLI,Mali
682,MRT,Mauritania
684,MUS,Mauritius
686,MAR,Morocco
688,MOZ,Mozambique
728,NAM,Namibia
692,NER,Niger
694,NGA,Nigeria
714,RWA,Rwanda
716,STP,São Tomé and Príncipe
722,SEN,Senegal
718,SYC,Seychelles
724,SLE,Sierra Leone
726,SOM,Somalia
199,ZAF,South Africa
733,SSD,South Sudan
732,SDN,Sudan
738,TZA,Tanzania
742,TGO,Togo
744,TUN,Tunisia
746,UGA,Uganda
754,ZMB,Zambia
698,ZWE,Zimbabwe
