Indicator.Name,2022-08-31
Food and Non-Alcoholic Beverages,15.3
"Alcoholic Beverages, Tobacco and Narcotics",4.6
Clothing and Footwear,2.4
"Housing, Water, Electricity, Gas and Other Fuels",5.6
"Furnishings, Household Equipment and Routine Household Maintenance",10.3
Health,1.5
Transport,7.6
Information and Communication,0.9
"Recreation, Sport and Culture",3.0
Education Services,0.9
Restaurants and Accommodation Services,4.6
Insurance and Financial Services,0.5
"Personal Care, Social Protection and Miscellaneous Goods and Services",4.8
Total,8.5
