Indicator.Name,Indicator.Code,2023-01-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,9.0
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,12.8
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,8.0
Clothing and footwear,PCPIA_PC_CP_A_PT,3.2
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,7.3
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,9.3
Health,PCPIM_PC_CP_A_PT,2.1
Transport,PCPIT_PC_CP_A_PT,13.1
Communication,PCPIEC_PC_CP_A_PT,1.1
Recreation and culture,PCPIR_PC_CP_A_PT,5.6
Education,PCPIED_PC_CP_A_PT,2.1
Restaurants and hotels,PCPIRE_PC_CP_A_PT,6.5
Insurance and Financial Services,,1.3
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,7.5
