Indicator.Name,2022-07-31
Food and Non-Alcoholic Beverages,15.3
"Alcoholic Beverages, Tobacco and Narcotics",4.0
Clothing and Footwear,2.3
"Housing, Water, Electricity, Gas and Other Fuels",5.6
"Furnishings, Household Equipment and Routine Household Maintenance",9.8
Health,1.2
Transport,7.0
Information and Communication,0.9
"Recreation, Sport and Culture",3.0
Education Services,1.1
Restaurants and Accommodation Services,4.0
Insurance and Financial Services,0.4
"Personal Care, Social Protection and Miscellaneous Goods and Services",4.2
Total,8.3
