Indicator.Name,2022-06-30
Food and Non-Alcoholic Beverages,13.8
"Alcoholic Beverages, Tobacco and Narcotics",3.6
Clothing and Footwear,2.2
"Housing, Water, Electricity, Gas and Other Fuels",6.8
"Furnishings, Household Equipment and Routine Household Maintenance",9.2
Health,0.9
Transport,7.1
Information and Communication,2.4
"Recreation, Sport and Culture",3.1
Education Services,1.1
Restaurants and Accommodation Services,3.0
Insurance and Financial Services,0.5
"Personal Care, Social Protection and Miscellaneous Goods and Services",3.6
Total,7.9
