Indicator.Name,Indicator.Code,2022-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,9.6
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,15.8
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,6.7
Clothing and footwear,PCPIA_PC_CP_A_PT,2.6
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,7.1
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,10.9
Health,PCPIM_PC_CP_A_PT,1.6
Transport,PCPIT_PC_CP_A_PT,11.6
Communication,PCPIEC_PC_CP_A_PT,1.0
Recreation and culture,PCPIR_PC_CP_A_PT,3.9
Education,PCPIED_PC_CP_A_PT,1.0
Restaurants and hotels,PCPIRE_PC_CP_A_PT,5.3
Insurance and Financial Services,,0.5
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,6.1
