Indicator.Name,Indicator.Code,2022-09-30
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,9.2
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,15.5
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,4.8
Clothing and footwear,PCPIA_PC_CP_A_PT,2.5
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,7.3
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,10.7
Health,PCPIM_PC_CP_A_PT,1.6
Transport,PCPIT_PC_CP_A_PT,10.2
Communication,PCPIEC_PC_CP_A_PT,0.9
Recreation and culture,PCPIR_PC_CP_A_PT,3.5
Education,PCPIED_PC_CP_A_PT,1.0
Restaurants and hotels,PCPIRE_PC_CP_A_PT,4.8
Insurance and Financial Services,,0.5
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,5.4
