divisions,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
Food & Non-alcoholic Beverages,22.18,25.26,29.84,30.24,28.24,21.08
"Alcoholic Beverages, Tobacco & Narcotics",27.46,28.51,22.84,19.25,14.38,12.57
Clothing & Footwear,18.64,22.85,20.03,14.38,7.87,2.16
"Housing, Water, Electricity, Gas  & other fuels",16.42,17.05,7.3,10.71,8.48,5.57
"Furnishings, Household Equipment &  Routine Maintenance of the House",26.4,26.2,5.18,5.97,1.16,2.65
Health,17.82,13.37,8.72,8.84,17.8,25.89
Transport,29.78,30.55,24.62,23.17,10.96,12.88
Communication,22.48,23.88,13.64,13.35,8.24,2.38
Recreation & Culture,16.6,18.93,20.4,16.64,9.96,6.27
Education,7.18,7.78,7.72,6.78,3.5,0.92
Restaurants & Hotels,37.29,44.65,31.32,39.84,27.14,11.31
Miscellaneous Goods & Services,21.93,21.9,14.7,7.93,4.6,-0.87
All,23.56,25.76,21.72,22.51,18.36,13.14
