divisions,Jan-22,Feb-22,Mar-22,Apr-22
Food & Non-alcoholic Beverages,-6.79,-1.57,2.58,-2.39
"Alcoholic Beverages, Tobacco & Narcotics",-1.29,-0.47,-3.06,-0.04
Clothing & Footwear,-0.48,-0.71,-10.79,-15.7
"Housing, Water, Electricity, Gas  & other fuels",0.06,-0.53,-0.91,3.57
"Furnishings, Household Equipment &  Routine Maintenance of the House",-3.47,-4.8,-6.58,-8.3
Health,18.73,12.44,12.49,11.68
Transport,0.53,0.2,22.77,12.95
Communication,5.02,5.45,5.14,4.84
Recreation & Culture,2.11,1.28,0.62,-1.82
Education,23.19,23.19,23.19,23.19
Restaurants & Hotels,33.68,32.52,27.4,21.66
Miscellaneous Goods & Services,-2.51,-3.06,-2.42,-0.28
All,6.55,7.64,9.51,6.26
