Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Liberia,288.0,LBR,16.5,14.78,14.29,11.73,19.22,21.94,21.26,26.54,19.97,18.58,15.52,9.39,6.39,6.95,6.94,7.81,7.72,7.55,7.33,4.9,7.98,8.18,7.79,9.71,12.88,11.45,13.21,11.92,8.01,2.5,4.18,3.34,5.17,4.9,5.67,6.62,4.75,7.46,6.54,7.39,7.58,8.78,10.6,10.28,6.21,10.68,9.88,11.45,8.93,10.26,8.69,7.67,6.69,7.09,3.59,4.25,5.68,4.83,7.3,7.71,8.0,5.48,8.38,8.69,6.48,7.03,7.09,7.48,8.18,8.54,7.04,8.49,7.68,7.86,8.91,9.78,9.58,11.66,10.88,10.1,13.49,12.66,7.91,7.68,8.65,7.65,7.26,6.77,8.02,7.72,9.53,7.3,6.47,6.0,9.76,8.02,6.96,7.09,7.1,7.19,7.45,8.44,8.4,9.86,8.48,9.95,12.04,12.52,13.62,13.31,11.86,11.54,13.22,10.83,10.47,12.31,13.07,11.87,13.06,13.89,15.45,17.83,19.52,21.35,21.27,24.56,26.12,26.11,26.31,26.58,27.06,28.52,23.28,22.0,,,,,,,,,,,23.56,25.76,21.72,22.51,18.36,13.14,17.06,14.77,14.03,13.85,10.39,13.12,12.92,10.5,9.96,9.41,8.16,8.1,7.12,7.0,6.69,4.42,5.44,5.46,6.55,7.64,9.51,6.26,"6,23","6,32","6,48","7,06"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Liberia,285.0,LBR,28.27,24.65,22.47,15.7,26.28,31.83,28.83,39.24,27.86,25.08,19.17,11.11,5.21,5.92,5.84,7.36,1.61,0.56,0.14,-4.24,1.85,2.26,3.06,4.25,9.38,6.65,10.95,8.68,11.96,1.42,4.22,3.49,7.13,7.26,7.73,8.98,6.34,12.63,8.11,9.03,7.93,11.04,15.71,15.21,6.74,14.6,12.46,16.07,11.91,13.95,12.79,11.72,10.35,11.16,5.56,7.51,9.61,6.06,11.5,12.16,13.38,7.74,13.68,15.01,9.89,11.11,8.8,8.12,9.09,11.62,8.1,7.71,5.55,6.4,5.48,5.42,7.28,9.16,10.44,9.28,16.33,14.93,7.6,9.95,11.77,12.4,14.29,14.12,17.53,12.21,12.93,6.9,3.77,2.76,9.03,5.88,7.4,5.47,5.61,3.05,1.94,4.08,5.76,10.8,9.84,11.73,14.41,14.22,11.39,9.87,4.68,6.82,8.89,7.12,3.81,5.44,5.96,4.19,4.63,4.61,8.03,11.58,17.4,20.09,19.56,22.43,23.74,23.33,25.17,24.15,24.94,30.48,30.17,27.61,,,,,,,,,,,22.18,25.26,29.84,30.24,28.24,21.08,17.83,16.25,14.09,14.85,13.96,15.74,16.31,10.48,5.01,-2.53,-4.04,-3.95,0.21,0.1,0.18,-2.39,-6.58,-7.05,-6.79,-1.57,2.58,-2.39,"1,17","-1,99","-0,98","-3,85"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Liberia,294.0,LBR,4.53,2.4,6.25,4.62,4.45,6.4,3.35,0.52,2.36,3.34,2.91,4.42,3.24,6.93,10.53,10.71,8.38,11.91,14.96,22.37,20.2,16.21,14.13,13.32,15.35,20.63,11.8,10.82,14.14,12.38,7.55,2.38,2.64,5.94,11.43,13.91,12.86,9.58,10.59,10.93,8.91,8.42,9.4,10.81,12.49,12.26,8.24,8.82,8.63,8.93,4.43,2.85,1.86,0.29,1.2,1.02,4.37,6.17,5.39,-0.53,-0.31,2.76,6.32,4.74,3.98,7.8,10.23,10.37,7.34,6.43,6.47,8.04,11.81,8.66,10.4,15.43,14.05,13.87,12.11,10.77,7.07,4.66,7.66,8.29,4.61,-0.17,2.49,0.2,3.39,0.18,1.45,4.1,10.88,12.42,7.96,11.03,9.11,14.23,10.93,10.5,9.87,15.69,14.21,9.28,6.09,10.35,16.92,17.01,25.3,26.5,28.81,28.99,31.03,25.97,27.41,25.94,22.61,21.67,22.91,16.37,8.19,6.05,5.28,8.78,5.21,12.68,16.1,30.59,31.61,27.69,24.24,29.09,26.94,28.7,,,,,,,,,,,27.46,28.51,22.84,19.25,14.38,12.57,13.39,10.67,10.37,6.64,0.46,-1.89,-6.49,-7.49,-8.05,-6.89,-9.85,-10.24,-10.33,-9.68,-9.85,-10.15,-7.41,-4.02,-1.29,-0.47,-3.06,-0.04,"-0,55","0,89","4,57","10,16"
Clothing and footwear,PCPIA_PC_CP_A_PT,Liberia,297.0,LBR,2.63,0.71,1.14,1.32,3.98,1.45,5.44,2.34,4.96,10.76,11.97,8.84,15.55,13.36,11.89,10.19,16.6,21.35,18.56,22.66,21.46,16.47,12.76,12.31,11.54,11.87,14.8,16.14,8.13,4.63,6.58,5.22,3.79,4.92,8.35,8.86,4.76,6.15,6.2,8.29,9.28,8.07,5.1,4.51,4.75,4.8,4.25,4.68,3.44,3.99,4.29,3.26,3.53,4.11,1.83,1.51,4.24,3.34,3.2,3.02,-0.84,2.41,1.49,-0.05,0.32,2.53,6.18,8.68,8.57,9.5,10.17,10.56,14.89,15.17,19.68,22.76,18.01,22.3,18.53,22.87,11.92,11.67,13.08,11.96,10.12,1.74,0.28,-0.81,5.15,10.51,18.65,14.93,26.64,27.95,25.31,22.55,23.63,29.65,27.64,28.32,21.09,19.56,9.51,7.69,6.31,5.4,7.03,14.18,16.33,15.97,18.22,18.32,22.57,14.01,26.07,38.02,38.07,38.58,39.9,40.09,39.32,39.39,36.27,35.61,35.14,31.43,27.87,20.68,20.02,20.08,22.35,20.16,10.19,12.15,,,,,,,,,,,18.64,22.85,20.03,14.38,7.87,2.16,-8.54,-16.2,-7.61,-7.13,-11.92,-10.89,-9.46,-14.17,-7.87,-6.53,-8.13,-8.17,-10.27,-6.11,-6.6,-8.85,-3.76,-2.91,-0.48,-0.71,-10.79,-15.7,"-8,36","-7,05","-1,51","-1,27"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Liberia,293.0,LBR,3.89,4.58,5.45,5.73,9.46,9.62,10.63,12.27,11.8,9.03,5.66,3.37,-0.38,-0.14,-1.51,-0.75,-3.11,-3.37,-2.13,-3.83,-5.56,-1.52,-2.12,-1.02,2.62,3.25,2.98,2.88,2.6,2.94,2.43,3.34,5.29,3.36,3.75,4.42,4.56,2.4,4.46,5.62,6.81,6.16,6.35,6.21,6.06,6.23,7.46,6.49,6.61,8.07,7.36,4.36,4.74,4.35,4.96,1.08,2.22,2.35,1.07,1.37,0.74,-0.21,-0.18,1.02,-0.18,-0.05,-0.76,2.4,2.59,1.29,1.9,0.86,0.07,-0.24,1.84,2.62,0.79,1.58,-0.9,-1.45,6.35,7.37,-0.64,5.67,6.03,6.37,-4.21,-1.38,0.26,-0.24,2.36,3.35,-5.47,-6.45,0.86,-4.5,-25.32,-25.01,-18.83,0.39,0.36,0.96,0.99,-0.53,-0.37,-0.38,-0.53,4.36,32.38,31.67,31.97,0.79,3.44,6.62,5.67,6.93,9.05,6.37,9.26,8.54,9.18,8.48,11.51,21.64,13.46,15.1,21.39,23.72,23.2,29.89,27.85,22.69,26.15,28.63,,,,,,,,,,,16.42,17.05,7.3,10.71,8.48,5.57,8.42,7.12,5.77,3.26,6.22,10.98,10.28,9.61,9.19,2.83,-0.36,-1.13,-0.58,0.3,-0.22,0.26,2.46,1.86,0.06,-0.53,-0.91,3.57,"3,08","6,93","4,51","14,9"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Liberia,291.0,LBR,9.39,11.25,12.31,16.63,15.75,15.42,11.94,21.54,23.69,21.1,24.38,8.3,16.08,13.88,19.68,20.86,36.36,36.54,38.76,29.09,22.55,21.2,17.93,35.35,23.98,25.18,18.57,15.02,1.05,2.26,5.88,4.38,4.23,-4.35,-3.12,-1.9,-3.5,-3.09,-2.67,-1.52,-0.56,-2.05,-0.32,-0.72,1.36,11.75,12.8,11.89,7.81,7.41,7.73,7.34,7.65,8.21,0.34,0.12,-0.72,4.09,1.89,0.37,-2.54,-1.12,-1.22,-5.43,1.37,6.97,12.56,13.86,13.69,7.27,8.9,13.69,23.0,12.06,20.04,27.42,17.22,12.56,4.98,2.41,3.93,4.31,4.73,0.18,-0.19,4.82,8.34,8.6,-3.55,0.31,0.51,10.59,19.61,20.54,17.64,21.03,16.38,20.02,8.41,6.09,20.23,24.72,27.72,18.2,7.97,6.86,10.78,6.61,8.68,7.98,14.09,16.08,17.28,9.45,13.59,15.82,13.96,19.22,25.31,30.29,30.58,30.13,29.01,33.19,41.45,43.21,48.58,42.31,44.49,42.77,36.21,36.44,38.66,42.31,,,,,,,,,,,26.4,26.2,5.18,5.97,1.16,2.65,-1.73,-0.5,-4.16,-4.85,-15.37,-8.65,-10.65,9.61,11.58,14.39,8.26,1.1,2.64,0.16,-2.34,-3.3,0.41,-4.24,-3.47,-4.8,-6.58,-8.3,"-12,54","-11,99","-8,42","0,21"
Health,PCPIM_PC_CP_A_PT,Liberia,292.0,LBR,-0.34,0.0,2.03,0.0,0.34,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,4.05,3.7,3.01,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.33,-0.33,-0.33,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.59,-4.55,0.0,0.0,-3.24,-3.24,0.0,0.0,0.0,0.0,0.0,0.0,2.66,4.76,5.2,8.12,22.14,22.14,15.92,17.21,17.21,17.21,17.21,17.21,17.21,17.21,1.54,-3.9,-2.75,-2.2,-9.36,-10.58,-7.87,-8.48,-1.39,-1.39,-2.27,-2.27,5.04,8.0,-2.37,-2.92,6.8,7.06,3.91,-2.3,-9.33,-6.85,-6.01,-5.9,-4.28,-4.81,-5.66,-4.65,-2.77,-1.46,-1.32,6.95,8.01,3.57,5.88,6.61,7.66,10.5,11.74,12.18,10.39,13.61,17.85,16.01,17.95,23.27,20.45,21.62,9.05,10.47,,,,,,,,,,,17.82,13.37,8.72,8.84,17.8,25.89,69.02,64.3,59.77,56.35,43.77,53.42,46.37,52.59,51.62,51.54,39.75,30.48,15.18,15.63,15.57,13.84,12.88,12.14,18.73,12.44,12.49,11.68,"7,13","4,73","-4,52","-4,99"
Transport,PCPIT_PC_CP_A_PT,Liberia,290.0,LBR,26.44,28.68,26.18,27.52,68.98,68.4,67.92,67.91,39.54,39.09,36.88,28.93,26.28,22.78,25.23,23.91,-6.17,-6.17,-4.74,-4.73,-3.81,-3.5,-2.64,1.55,3.43,4.3,3.96,4.12,4.63,3.2,5.14,5.14,5.14,5.67,4.79,6.32,6.27,6.57,19.73,20.61,24.42,24.44,20.07,20.03,19.44,19.37,19.04,17.67,16.97,16.46,5.08,5.13,1.44,1.19,-0.49,-0.39,0.39,6.2,6.12,10.45,10.94,10.89,10.52,9.62,8.67,0.25,2.31,2.42,2.77,-2.94,-2.11,14.36,8.5,12.59,12.65,12.98,13.72,24.36,24.15,28.28,21.98,21.98,21.29,2.6,9.92,-1.06,-10.06,-10.29,-13.58,7.01,14.08,10.61,10.46,9.6,8.85,11.24,9.08,15.61,26.45,26.71,35.02,22.39,15.41,14.7,20.04,20.43,23.09,20.94,23.47,24.54,28.46,27.76,25.91,14.26,13.75,13.56,17.19,22.05,21.01,25.43,26.83,30.92,30.79,30.26,30.3,45.44,47.97,47.3,42.99,38.92,41.92,35.09,25.37,20.46,,,,,,,,,,,29.78,30.55,24.62,23.17,10.96,12.88,9.25,11.7,10.33,11.06,6.83,6.29,5.85,6.73,9.11,8.4,7.97,4.85,4.88,2.17,1.16,-0.9,-3.67,-2.57,0.53,0.2,22.77,12.95,"13,38","39,52","48,71","48,09"
Communication,PCPIEC_PC_CP_A_PT,Liberia,295.0,LBR,-3.41,-0.49,-3.26,-0.58,-0.6,-3.3,-1.68,-1.86,-1.74,2.62,2.81,2.31,-2.62,-2.5,0.38,-2.25,-2.35,1.0,1.21,1.39,1.34,1.2,0.72,0.72,1.1,1.16,1.06,0.76,0.67,0.29,5.76,5.62,5.57,5.74,5.93,5.99,5.72,5.65,5.64,5.77,5.97,5.72,0.08,0.0,0.03,0.03,0.26,0.27,0.09,0.19,0.23,0.31,0.36,0.44,0.2,0.15,0.19,-0.03,0.1,0.08,0.16,0.15,0.15,0.08,0.1,0.15,0.36,0.76,0.94,1.27,1.3,1.4,1.42,1.01,1.46,1.8,1.62,1.87,1.69,0.63,0.71,0.57,0.42,0.09,-3.96,-3.6,-4.02,-4.34,-12.15,-12.38,-12.01,-11.14,-10.06,-10.04,-10.04,-9.83,-6.1,-6.0,-6.0,-5.86,2.53,2.64,2.68,2.7,1.43,1.55,1.83,1.41,1.63,1.33,1.56,1.38,1.85,3.87,10.07,12.13,12.61,12.59,13.66,14.3,14.08,18.21,19.72,17.84,25.12,27.01,26.84,24.09,23.44,27.97,28.88,28.62,22.33,18.69,,,,,,,,,,,22.48,23.88,13.64,13.35,8.24,2.38,1.01,-2.94,-3.86,-5.12,-10.75,-8.82,-6.36,-6.86,-6.87,-6.57,-9.81,-7.63,5.35,5.4,5.36,3.11,3.09,4.16,5.02,5.45,5.14,4.84,"6,19","2,95","-9,45","-10,04"
Recreation and culture,PCPIR_PC_CP_A_PT,Liberia,286.0,LBR,4.43,4.62,9.4,9.19,9.11,8.02,11.35,10.72,10.51,9.98,11.2,7.57,6.76,7.17,-0.66,3.31,4.48,5.96,4.5,4.8,5.21,4.7,3.42,3.4,4.4,4.56,7.88,3.32,1.64,1.49,0.69,0.5,0.12,1.11,1.55,1.72,1.1,0.92,2.78,6.3,6.82,6.17,5.05,4.83,4.65,4.2,4.85,4.84,4.35,4.58,2.81,-0.08,0.04,0.25,0.5,0.38,0.48,6.77,7.13,7.08,6.7,6.58,6.54,6.59,9.51,8.15,8.95,9.51,14.55,8.06,9.07,9.3,9.88,9.64,11.92,12.75,9.34,8.57,9.31,7.55,3.1,2.78,1.53,0.78,19.13,20.0,16.61,15.69,15.71,21.86,21.21,17.4,24.81,25.23,25.2,25.9,6.17,5.95,6.8,7.17,7.6,12.12,12.62,18.81,12.2,17.37,15.42,16.11,17.5,16.77,20.97,22.08,25.38,19.38,19.51,20.11,20.74,19.04,25.59,27.85,28.47,28.71,22.08,20.87,19.28,21.85,25.88,26.57,25.96,24.78,20.84,20.11,18.45,18.63,,,,,,,,,,,16.6,18.93,20.4,16.64,9.96,6.27,-5.63,3.87,2.18,-1.85,-7.03,-2.86,-1.6,-1.79,-0.83,1.85,2.09,3.35,3.67,4.68,4.77,3.98,5.52,5.27,2.11,1.28,0.62,-1.82,"1,03","-2,71","-2,67","-5,93"
