Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58,7.01,7.16,7.07,7.01,7.03,7.43,7.61,7.74,8.15,8.9,9.79,10.31,10.85,11.39,12.47,17.31,20.08,21.71,25.5,28.35,30.6,33.29,34.58,31.36,34.45,34.28,33.89,32.37,29.1,26.0,24.2,22.14,22.12,21.1,20.03,25.9,24.6,24.1,23.98,22.6,22.57,22.37,24.52,23.73,23.32,23.69,24.11,21.23,19.74,18.18,18.83,19.53,21.23,22.14,22.96,24.1,24.66,24.6,24.87,23.44,23.31,22.05,20.92,21.43,22.66,23.48,22.78,21.18,20.07,19.93,19.96,18.16,16.14,15.83,14.61,12.35,11.31,10.17,9.33,8.42,8.27,7.73,7.08,8.08,7.85,9.94,9.72,11.58,13.92,16.74,17.77,15.73,16.19,13.1,9.9,8.78,7.9,9.28,9.14,8.88,8.94,9.25,9.51,9.23,9.52,10.3,11.56,11.08,11.02,9.78,9.45,8.71,8.55,8.02,7.56,7.11,7.47,7.3,7.61,7.67,8.31,10.19,9.17,8.89,9.05,8.65,8.39,8.94,,,,,,,,,,,,"25,9","26,7","25,8","25,4"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.51,18.97,17.05,18.12,21.36,24.27,25.3,26.83,27.32,28.3,28.92,29.16,28.48,28.62,26.42,24.36,25.66,27.73,29.19,28.77,26.98,25.39,24.82,24.44,21.07,17.54,17.03,14.69,11.19,9.23,30.31,6.21,5.15,4.81,4.68,4.32,7.56,7.3,10.58,9.94,12.63,17.46,1.71,25.54,21.06,20.96,16.2,2.0,10.66,10.81,14.36,13.9,13.0,13.74,14.26,14.59,13.89,15.91,17.18,30.98,17.68,17.01,14.75,14.59,13.77,13.39,12.21,11.25,10.33,10.88,10.39,10.49,9.65,10.33,13.49,11.55,10.92,11.07,10.31,9.74,10.88,,,,,,,,,,,,,,,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19,12.4,11.39,11.26,11.73,10.97,11.01,10.66,10.08,10.06,6.48,3.69,3.81,7.61,9.58,10.51,10.92,16.24,18.18,20.57,21.5,22.21,21.88,24.81,24.78,20.62,18.31,16.87,16.61,15.41,8.41,12.1,13.73,12.77,12.4,10.02,9.66,10.6,12.83,13.45,13.49,11.69,17.72,12.24,9.7,9.95,9.7,9.4,10.07,9.69,7.6,7.78,7.43,6.73,6.45,6.49,6.93,8.0,7.97,8.14,7.9,7.29,7.27,7.13,7.02,7.41,7.29,6.89,6.76,6.08,6.25,6.41,6.36,6.82,7.07,6.62,6.35,5.28,4.94,4.22,3.81,,,,,,,,,,,,,,,
Clothing and footwear,PCPIA_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.52,22.67,22.94,21.73,13.16,13.11,14.34,16.19,16.08,15.86,13.78,12.98,11.06,13.13,12.83,13.39,14.61,14.73,15.35,13.67,13.47,14.58,16.52,16.12,16.39,15.07,14.81,14.5,14.14,14.42,6.49,12.91,12.77,10.6,8.32,7.6,5.7,7.23,7.95,7.9,7.61,6.58,13.19,7.23,8.32,9.08,9.3,9.6,9.66,7.3,6.59,7.02,7.06,7.61,7.79,8.28,7.24,6.9,7.14,6.93,7.29,8.1,7.97,7.28,7.06,6.92,6.79,5.54,5.31,5.16,4.7,4.75,5.39,5.86,5.84,5.8,5.91,5.78,5.52,5.81,6.14,,,,,,,,,,,,,,,
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.51,28.47,25.97,26.5,24.91,29.36,31.96,31.78,30.86,29.34,30.96,30.61,24.36,23.53,23.4,22.82,22.44,22.37,22.71,20.85,19.46,19.08,18.17,19.83,18.48,20.75,20.69,20.3,17.77,17.68,10.38,16.26,16.02,16.98,15.93,15.49,15.19,12.74,13.5,12.75,14.87,14.88,22.08,15.76,15.84,17.16,13.44,8.5,6.0,3.63,2.88,3.6,4.28,4.18,4.35,4.25,4.34,2.3,2.4,2.49,1.92,2.56,2.56,2.56,1.91,1.91,1.81,2.14,2.48,2.74,3.06,3.28,5.26,6.22,6.79,7.26,7.24,7.57,7.8,7.84,8.29,,,,,,,,,,,,,,,
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73,12.86,12.11,12.2,12.43,12.22,12.32,12.65,13.81,18.67,16.11,18.63,17.32,17.63,18.26,18.91,19.51,20.64,20.92,20.5,18.63,13.76,14.22,11.35,11.75,10.65,9.91,9.55,8.84,8.74,3.29,9.2,9.09,9.0,8.04,7.6,6.67,8.2,8.3,7.28,7.29,7.31,13.09,7.18,8.59,8.9,8.8,8.7,9.1,6.86,7.03,7.57,8.17,7.62,7.42,7.92,7.06,6.65,6.91,7.18,11.9,12.33,11.9,11.64,11.01,10.77,10.36,9.33,8.92,9.34,9.81,9.54,5.1,6.16,6.18,6.07,6.24,6.91,7.46,7.89,8.37,,,,,,,,,,,,,,,
Health,PCPIM_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78,16.74,16.24,15.38,14.8,14.81,14.41,13.14,12.6,14.15,13.2,10.99,9.48,9.56,9.59,11.37,12.69,14.01,16.49,19.46,19.18,19.48,20.06,24.15,26.51,23.56,25.96,24.5,23.82,27.26,11.38,21.12,20.71,18.64,17.92,13.96,11.1,12.08,10.07,9.41,8.99,5.37,17.72,5.92,8.33,8.61,8.3,8.6,8.68,9.54,9.66,10.15,10.07,9.58,10.36,10.56,9.46,9.4,9.23,9.94,9.62,8.45,8.04,7.26,7.43,7.6,7.37,6.38,5.13,5.06,4.77,5.14,5.42,6.7,6.86,6.84,6.57,6.75,6.57,6.83,6.68,,,,,,,,,,,,,,,
Transport,PCPIT_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.41,17.86,16.78,16.07,16.63,16.5,16.76,17.03,16.78,16.87,15.47,17.42,19.35,15.27,13.9,14.93,14.13,15.0,14.93,14.5,14.58,13.87,12.31,9.61,8.5,6.65,6.51,5.05,5.08,4.79,2.52,5.11,5.11,4.89,4.03,3.42,3.34,5.19,5.17,4.9,5.02,5.87,9.42,6.85,7.45,8.85,9.6,9.6,9.22,7.2,7.43,7.59,7.55,6.37,6.33,5.92,5.41,4.42,6.03,6.57,6.76,6.94,6.08,5.07,4.51,4.41,4.98,5.58,7.23,7.23,5.68,7.98,9.35,9.24,10.94,11.82,12.34,12.44,11.2,10.7,9.29,,,,,,,,,,,,,,,
Communication,PCPIEC_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,10.23,10.72,11.51,8.39,5.26,5.38,6.31,5.93,7.22,6.96,7.01,7.01,8.94,8.68,7.85,7.84,7.9,7.9,5.44,5.24,4.01,3.97,3.91,4.65,0.97,0.76,4.48,4.48,4.43,0.0,4.43,6.89,6.87,6.87,6.87,6.11,7.14,7.29,3.46,4.15,4.26,8.9,4.69,3.0,3.3,3.3,3.4,3.4,2.41,3.16,3.17,2.58,2.47,2.75,2.74,2.33,2.03,2.03,2.13,2.13,2.71,1.92,2.88,3.07,3.16,2.96,2.58,2.34,2.34,2.86,3.8,3.83,3.27,3.46,2.64,2.36,2.39,2.35,2.48,2.44,,,,,,,,,,,,,,,
Recreation and culture,PCPIR_PC_CP_A_PT,Malawi,0,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,17.23,14.83,15.92,14.64,14.39,14.69,15.99,15.7,16.14,14.41,12.42,11.88,18.51,18.66,18.74,18.14,21.61,22.74,21.1,21.96,20.52,21.19,28.07,27.6,22.09,24.32,24.26,23.47,20.32,12.31,19.21,17.75,18.09,16.1,7.41,6.43,5.71,3.84,4.07,4.71,4.97,11.28,5.5,6.2,5.92,5.8,6.0,5.8,4.52,4.51,4.8,4.19,3.81,4.05,3.64,3.14,3.04,3.12,3.21,3.3,3.2,3.1,2.8,2.8,2.61,2.32,2.11,1.97,1.79,1.56,1.28,1.1,1.79,2.46,2.36,2.36,2.41,2.32,2.39,2.53,,,,,,,,,,,,,,,
