original_language,2023-01-31,Indicator.Name
Total,9.78,Total
Produtos alimentares e bebidas não alcoólicas,15.74,Food and non-alcoholic beverage
Bebidas alcoólicas e tabaco,3.28,Food and nonalcoholic beverages
Vestuário e calçado,1.83,Clothing and footwear
"Habitação, água, electricidade, gás e outros combustíveis",7.12,"Housing, water, electricity, gas and other fuels"
"Mobiliário, artigos de decoração, equipamento doméstico e manutenção corrente da habitação",3.34,"Furnishings, household equipment and routine households maintenance"
Saúde,-1.25,Health
Transportes,16.71,Transport
Comunicações,0.29,Communications
"Lazer, recreação e cultura",1.61,Recreation and culture
Educação,6.28,Education
"Restaurantes, hotéis, cafés e similares ",5.25,"Restaurants, cafés and the like (S)"
Bens e serviços diversos,4.95,Miscellaneous goods and services
