original_language,2022-08-31,Indicator.Name
Total,12.1,Total
Produtos alimentares e bebidas não alcoólicas,17.27,Food and non-alcoholic beverage
Bebidas alcoólicas e tabaco,2.01,Food and nonalcoholic beverages
Vestuário e calçado,2.69,Clothing and footwear
"Habitação, água, electricidade, gás e outros combustíveis",8.57,"Housing, water, electricity, gas and other fuels"
"Mobiliário, artigos de decoração, equipamento doméstico e manutenção corrente da habitação",4.61,"Furnishings, household equipment and routine households maintenance"
Saúde,6.62,Health
Transportes,21.34,Transport
Comunicações,0.2,Communications
"Lazer, recreação e cultura",3.63,Recreation and culture
Educação,3.62,Education
"Restaurantes, hotéis, cafés e similares ",8.55,"Restaurants, cafés and the like (S)"
Bens e serviços diversos,4.67,Miscellaneous goods and services
