original_language,2022-07-31,Indicator.Name
Total,11.77,Total
Produtos alimentares e bebidas não alcoólicas,17.24,Food and non-alcoholic beverage
Bebidas alcoólicas e tabaco,1.75,Food and nonalcoholic beverages
Vestuário e calçado,2.86,Clothing and footwear
"Habitação, água, electricidade, gás e outros combustíveis",8.51,"Housing, water, electricity, gas and other fuels"
"Mobiliário, artigos de decoração, equipamento doméstico e manutenção corrente da habitação",4.68,"Furnishings, household equipment and routine households maintenance"
Saúde,6.56,Health
Transportes,19.1,Transport
Comunicações,0.1,Communications
"Lazer, recreação e cultura",3.48,Recreation and culture
Educação,3.62,Education
"Restaurantes, hotéis, cafés e similares ",9.01,"Restaurants, cafés and the like (S)"
Bens e serviços diversos,4.59,Miscellaneous goods and services
