Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Mozambique,379.0,MOZ,13.32,14.68,14.94,14.75,13.97,14.51,15.32,15.3,15.88,15.29,14.41,11.82,10.35,7.34,6.52,5.32,3.84,3.15,2.44,1.47,1.32,1.07,1.05,2.26,3.85,6.32,7.71,9.63,12.99,15.07,15.03,15.26,15.29,15.27,15.56,17.44,16.2,15.23,13.78,12.77,11.82,10.0,10.24,10.83,9.99,9.5,8.6,6.14,5.12,3.5,3.81,3.37,2.28,2.28,1.88,1.41,1.55,1.8,2.33,2.02,2.73,4.18,4.27,4.79,4.9,4.86,4.58,4.34,4.52,4.42,4.04,3.54,3.16,2.38,3.0,2.87,2.91,2.75,2.95,2.64,2.23,2.12,1.79,1.93,2.79,3.99,3.11,1.98,1.29,1.36,1.5,2.28,2.73,4.74,6.27,10.55,11.44,10.81,11.05,13.71,15.26,16.66,17.91,19.74,23.35,23.76,23.78,21.15,20.56,20.88,21.57,21.27,20.45,18.1,16.17,14.13,10.76,8.35,7.15,5.65,3.84,2.93,3.05,2.33,3.26,4.4,4.73,5.02,4.89,4.75,4.27,3.52,3.78,3.72,3.41,3.27,2.42,2.3,2.16,2.02,2.01,2.25,2.58,3.5,3.48,3.55,3.09,3.32,3.02,2.69,2.8,2.75,2.98,3.2,3.27,3.52,4.09,5.1,5.76,5.19,5.49,5.52,5.48,5.61,6.04,6.42,,,,,,,,,,
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Mozambique,388.0,MOZ,,18.05,18.19,17.97,17.36,18.59,20.47,20.3,21.43,20.72,19.92,16.51,15.91,12.38,11.73,10.33,7.9,6.75,5.49,3.84,2.98,2.38,2.38,3.54,5.36,8.47,9.39,11.28,16.01,18.57,18.88,18.81,18.7,18.51,18.87,21.65,20.02,18.35,16.66,15.48,13.89,11.47,11.27,12.54,11.74,11.28,9.95,7.06,4.93,2.96,4.15,3.65,2.62,2.68,2.57,1.98,2.53,3.09,3.91,2.53,4.25,6.46,6.24,6.62,6.49,6.06,5.34,4.84,5.03,4.81,4.27,3.84,3.45,2.2,3.65,4.1,4.5,4.63,5.28,4.51,3.72,3.58,3.17,3.24,5.1,7.36,5.5,2.55,1.05,1.04,0.64,2.22,3.08,7.09,9.53,17.51,18.03,17.35,18.02,24.16,26.41,28.18,29.79,31.88,35.44,34.12,33.89,29.86,29.95,27.95,26.33,24.05,22.75,19.26,16.16,13.22,9.92,6.86,5.1,1.8,-1.48,-1.65,-0.79,-2.0,-0.63,0.47,0.95,1.56,1.5,1.44,0.9,0.17,1.07,0.95,1.91,2.98,2.53,3.3,3.24,3.23,3.3,3.81,5.22,7.99,7.65,7.88,7.29,7.34,7.23,6.59,7.4,7.52,7.94,8.1,8.18,8.03,9.14,11.51,12.65,11.23,10.88,10.5,10.45,10.72,11.76,12.23,,,,,,,,,,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Mozambique,383.0,MOZ,,4.2,5.79,6.23,4.91,4.71,4.67,4.77,4.6,5.68,6.15,6.12,7.2,6.7,5.66,4.62,5.22,5.78,6.5,5.97,5.86,6.86,7.57,7.76,11.66,12.17,13.29,13.24,13.14,12.97,12.11,13.04,14.3,15.56,13.79,13.71,10.66,10.25,7.39,8.22,7.47,6.58,7.03,6.02,6.0,3.84,4.78,3.89,3.96,4.32,3.93,3.43,3.01,3.86,3.59,3.71,3.14,3.41,4.25,5.2,4.71,5.21,7.92,7.93,8.92,8.86,8.73,8.73,8.58,8.31,7.2,6.85,6.87,5.62,2.48,1.0,0.55,1.45,1.88,2.31,2.35,1.45,0.63,0.56,0.03,1.09,1.55,2.87,3.02,1.23,1.23,1.15,0.84,1.59,6.26,7.68,8.79,8.14,14.62,18.96,20.49,22.26,24.4,28.1,30.83,31.82,26.06,24.39,23.13,25.79,21.37,18.93,17.05,15.86,14.03,10.55,7.77,6.46,7.02,6.82,7.04,5.03,3.74,1.86,2.09,2.53,1.94,2.01,1.85,1.19,0.55,0.9,0.6,0.94,0.12,0.04,-0.33,0.75,1.63,2.15,2.84,3.81,4.08,3.89,4.81,4.58,4.35,4.48,5.13,4.24,5.21,5.75,5.54,5.63,5.57,5.63,8.47,7.83,8.36,9.69,9.63,8.92,6.99,5.66,6.03,5.95,,,,,,,,,,
Clothing and footwear,PCPIA_PC_CP_A_PT,Mozambique,389.0,MOZ,,2.56,2.84,3.0,2.93,2.9,3.07,2.78,2.57,3.37,3.16,3.28,3.23,3.12,2.76,2.61,2.52,2.54,2.49,2.56,2.57,2.19,2.51,2.15,1.48,1.17,1.61,1.57,1.95,2.17,2.18,3.08,4.37,4.21,4.39,5.67,6.25,5.6,5.02,6.45,6.59,6.39,6.72,6.14,4.95,5.17,4.98,4.38,4.65,5.08,5.25,4.43,4.05,3.68,3.07,2.65,2.58,2.13,1.97,2.17,1.23,1.49,2.1,2.43,2.37,2.75,2.79,2.93,3.68,3.62,3.5,3.07,3.83,3.74,2.91,1.88,2.38,2.2,1.45,1.56,1.17,1.22,1.15,2.63,2.44,2.48,2.67,3.31,3.66,3.88,5.12,5.01,4.54,4.61,5.89,5.74,7.39,7.96,8.47,12.71,12.91,13.78,16.93,18.53,25.26,28.18,27.67,30.93,30.65,30.82,31.42,27.13,27.32,26.82,22.88,21.69,15.2,12.68,12.08,7.44,5.87,4.7,4.16,3.62,2.65,2.75,3.57,3.39,3.14,3.17,3.14,4.1,3.79,4.7,4.44,4.14,4.57,3.68,3.34,3.28,3.87,3.61,3.23,2.59,3.7,3.4,2.91,3.6,2.79,2.89,2.66,2.58,2.34,2.74,3.14,3.07,3.67,3.26,3.61,3.42,3.77,4.02,3.84,3.83,4.17,4.11,,,,,,,,,,
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Mozambique,377.0,MOZ,,20.73,21.35,20.42,17.25,16.07,14.05,14.21,13.38,11.24,9.74,6.5,-0.82,-6.03,-7.63,-9.59,-9.98,-9.48,-8.47,-8.45,-7.85,-7.67,-7.54,-5.2,-2.92,-0.32,5.19,9.65,12.38,15.39,13.44,14.23,15.84,15.64,15.74,15.55,15.86,15.89,12.17,9.95,8.83,6.67,7.85,7.85,5.81,5.98,6.16,6.43,8.24,7.96,6.69,6.02,4.2,4.07,3.29,2.62,2.47,2.41,2.22,2.04,0.09,1.93,2.46,3.79,5.21,5.83,5.79,5.74,5.96,6.19,6.94,7.35,7.0,5.18,5.99,5.02,3.81,2.48,2.49,2.52,2.26,1.92,1.2,0.81,0.66,1.05,0.31,0.03,0.24,0.52,0.61,0.53,0.54,1.17,1.91,2.77,3.01,2.42,2.49,2.96,3.43,3.63,3.67,5.05,5.78,6.61,9.11,8.34,10.38,13.96,19.64,21.75,20.08,16.31,15.31,15.21,16.03,15.05,11.97,12.59,10.7,8.74,4.97,2.64,3.4,6.19,6.63,6.44,5.06,4.45,4.17,3.31,3.07,1.72,3.22,4.18,2.92,3.05,3.05,1.94,1.76,1.55,1.15,1.32,0.99,1.1,-2.02,-2.75,-1.14,-0.54,-0.5,-0.39,-0.37,-0.06,0.08,0.1,1.04,5.46,6.05,5.83,5.22,3.95,4.63,4.66,4.95,5.87,,,,,,,,,,
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Mozambique,380.0,MOZ,,5.56,5.64,5.73,5.57,5.62,5.88,6.33,7.06,6.58,6.13,5.28,5.46,5.26,4.51,3.86,3.37,3.2,2.68,2.13,2.19,2.3,1.4,1.51,1.18,1.53,1.5,3.3,5.47,6.19,6.63,7.54,8.67,9.21,10.34,11.94,11.67,11.73,12.13,10.88,9.11,8.46,8.33,7.21,6.07,5.7,5.28,3.56,3.69,3.38,2.76,2.54,2.31,2.24,2.15,2.28,1.2,0.88,0.48,0.65,0.94,1.18,0.73,2.41,2.2,2.26,2.16,2.2,2.22,1.98,2.24,1.9,1.39,1.1,1.57,-0.4,-0.06,-0.4,-0.38,-0.3,-0.62,-0.51,-0.74,-0.46,0.08,-0.56,-0.5,1.44,2.08,2.48,3.39,3.16,3.66,4.54,5.66,7.5,9.91,11.39,11.39,10.33,10.36,11.82,13.63,17.52,23.65,24.8,28.17,28.86,26.53,27.58,28.06,28.5,26.29,23.49,19.86,15.73,9.65,7.01,2.85,-0.24,-2.2,-3.55,-3.84,-4.95,-4.08,-1.97,-1.14,-1.04,-0.93,-0.52,0.0,0.15,1.07,0.89,1.15,1.32,1.41,-0.03,-0.51,-0.25,0.02,-0.15,-0.24,0.46,0.85,0.96,0.4,0.99,1.13,0.91,1.16,1.15,1.71,2.19,2.47,3.09,4.0,4.07,4.72,4.62,4.4,4.78,5.17,5.09,4.39,4.47,,,,,,,,,,
Health,PCPIM_PC_CP_A_PT,Mozambique,385.0,MOZ,,5.92,8.11,9.3,9.88,9.46,7.31,8.01,8.73,8.42,8.04,7.07,6.53,7.05,4.9,3.95,6.46,6.58,7.01,6.79,5.95,6.1,5.97,5.88,6.12,6.08,7.24,7.91,5.54,4.98,4.89,5.57,5.86,6.88,6.53,6.1,4.83,4.5,2.3,1.57,1.59,1.47,0.61,0.08,-0.5,-1.57,-1.75,-1.13,0.12,-0.29,1.49,1.09,0.89,1.1,0.98,0.61,0.93,1.71,2.02,2.67,4.84,5.16,4.23,4.77,5.15,4.67,4.38,3.8,4.27,2.76,5.77,4.92,2.62,2.27,2.74,2.79,2.89,3.15,3.67,4.4,4.07,4.59,1.49,1.7,-0.12,0.72,0.84,1.04,0.78,0.58,0.08,0.13,-0.28,-0.5,0.44,0.96,5.48,5.02,5.02,4.94,4.66,5.01,6.65,6.76,10.07,11.07,12.47,12.07,10.18,10.55,12.36,14.09,13.93,13.36,11.43,11.97,9.44,8.68,6.31,15.26,13.67,13.52,11.87,10.31,10.29,10.15,10.75,12.57,12.09,12.44,12.63,3.42,3.73,3.98,6.39,6.02,6.06,6.56,6.78,4.33,4.48,7.78,7.39,7.47,7.66,6.72,3.75,4.15,3.59,3.51,3.89,3.76,3.78,0.59,0.61,0.39,0.45,0.61,0.75,0.45,0.7,1.13,0.25,0.21,0.48,3.73,,,,,,,,,,
Transport,PCPIT_PC_CP_A_PT,Mozambique,386.0,MOZ,,9.56,8.87,8.64,8.9,9.08,9.9,10.05,10.11,10.64,6.35,3.41,1.33,-2.62,-3.21,-3.84,-4.6,-5.59,-7.23,-7.12,-3.15,-3.09,-2.5,-0.62,1.06,3.43,4.58,6.31,8.35,10.53,10.67,11.51,7.33,7.43,7.63,7.5,7.76,8.36,8.09,7.08,7.62,5.16,6.55,6.11,5.72,4.89,4.45,4.82,4.4,2.93,2.71,2.34,-0.14,-0.08,-1.47,-2.0,-2.01,-1.62,0.78,2.68,2.4,3.42,3.16,3.78,3.6,3.93,4.68,4.57,4.6,4.91,2.59,0.39,0.73,0.68,0.79,0.54,0.25,0.22,-0.41,-0.26,-0.13,-0.2,0.06,0.16,-0.55,0.14,0.31,0.5,0.02,0.04,1.54,2.15,1.95,2.06,2.02,3.66,4.75,3.95,3.65,3.63,4.57,5.69,4.99,6.98,12.02,15.6,15.57,13.55,13.36,14.83,16.58,19.43,19.44,15.31,15.56,13.24,8.79,5.71,7.42,8.32,7.9,6.85,9.7,8.58,11.51,14.71,13.74,14.17,14.4,13.82,11.72,10.45,10.93,10.74,6.42,5.12,1.63,1.2,1.02,0.16,-0.88,-0.5,-0.47,-0.12,-0.09,0.08,0.2,1.15,1.89,1.18,1.01,1.05,1.65,1.58,1.49,1.37,1.36,1.12,1.35,0.6,0.33,1.03,0.96,0.96,0.65,1.69,,,,,,,,,,
Communication,PCPIEC_PC_CP_A_PT,Mozambique,387.0,MOZ,,0.65,-0.98,-1.4,-1.15,-1.36,-1.22,-0.95,-1.02,-0.84,-0.58,-0.28,-0.35,-0.46,-0.29,0.25,0.28,0.21,0.18,-0.1,-0.07,-0.05,-0.17,-0.25,-0.82,-0.9,-1.11,-0.08,-0.23,-0.08,-0.22,-0.17,-0.13,-0.1,-0.05,-0.1,0.49,0.55,0.51,-0.51,-0.34,-0.7,-0.42,-0.37,-0.33,-0.33,0.65,-0.17,-0.25,-1.48,-1.23,-0.79,-1.08,-0.8,-0.91,-0.97,-1.02,-1.11,-2.62,-1.94,0.19,0.89,2.05,1.59,1.98,1.57,1.37,1.37,1.58,1.58,2.32,2.23,-0.77,-0.21,-1.29,-1.34,-1.62,-1.23,-1.16,-1.16,-1.35,-1.35,-1.3,-0.92,0.1,0.16,0.11,0.16,0.19,0.19,0.19,0.2,1.35,2.02,2.5,2.87,3.08,3.0,2.88,3.14,3.14,3.01,3.22,3.53,3.15,2.48,2.26,1.76,1.46,1.47,1.81,1.89,2.64,3.73,3.52,3.27,2.72,2.92,2.86,2.72,3.12,2.66,2.04,1.71,0.96,0.46,0.61,0.58,0.3,0.18,0.01,0.14,-1.08,-0.58,-0.19,-0.16,-0.16,-0.6,-0.75,-0.63,-0.56,-0.64,-0.66,-0.66,-0.02,-0.07,-0.07,-0.1,-0.1,-0.1,-0.1,-0.31,-0.34,-0.34,-0.34,-0.35,-0.11,-0.11,-0.06,-0.06,-0.06,-0.11,-0.11,-0.06,-0.07,-0.07,,,,,,,,,,
Recreation and culture,PCPIR_PC_CP_A_PT,Mozambique,384.0,MOZ,,0.42,-0.04,0.31,0.58,1.12,0.41,0.27,0.15,-0.33,-0.25,-0.14,-0.23,1.14,1.24,1.01,0.29,-0.12,1.04,1.81,1.81,2.93,3.55,3.61,3.82,2.91,3.06,2.98,4.58,4.9,4.52,3.89,4.56,3.98,3.56,3.8,5.76,7.4,7.47,7.58,6.21,5.68,5.52,5.57,4.18,3.92,4.89,4.4,0.85,-2.52,-3.59,-3.76,-3.94,-3.77,-3.69,-3.69,-3.02,-2.76,-2.98,-2.09,-0.33,0.14,1.15,0.24,0.2,0.08,-0.15,-0.48,-0.59,-0.7,-1.5,-2.28,-2.48,-1.47,-1.65,-0.6,-0.48,-0.44,-0.13,-0.11,0.0,0.02,-0.19,-0.18,-0.26,1.32,1.6,2.03,1.69,1.73,1.77,1.93,3.4,3.52,4.34,6.47,7.58,5.47,6.02,5.89,6.95,7.2,7.63,8.46,8.52,9.55,9.9,8.53,10.38,10.71,10.45,11.21,9.89,9.56,6.98,6.89,5.36,4.24,3.5,2.86,-0.57,0.79,0.83,1.05,1.47,3.11,4.34,3.01,2.88,3.06,3.1,2.95,1.72,1.54,1.17,0.01,-0.05,-1.27,-0.4,0.18,0.04,-0.61,-1.35,-1.74,-1.56,-2.61,-1.56,-1.73,-1.01,-1.06,-2.36,-3.37,-4.01,-3.47,-2.72,-1.73,1.48,1.39,0.75,0.76,-0.85,-1.06,0.05,1.08,2.13,2.04,,,,,,,,,,
