original_language,Indicator.Name
Total,Total
Produtos alimentares e bebidas não alcoólicas,Food and non-alcoholic beverage
Bebidas alcoólicas e tabaco,Food and nonalcoholic beverages
Vestuário e calçado,Clothing and footwear
"Habitação, água, electricidade, gás e outros combustíveis","Housing, water, electricity, gas and other fuels"
"Mobiliário, artigos de decoração, equipamento doméstico e manutenção corrente da habitação","Furnishings, household equipment and routine households maintenance"
Saúde,Health
Transportes,Transport
Comunicações,Communications
"Lazer, recreação e cultura",Recreation and culture
Educação,Education
"Restaurantes, hotéis, cafés e similares ","Restaurants, cafés and the like (S)"
Bens e serviços diversos,Miscellaneous goods and services
