Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,"Pondé-rations",,"Juin2021",,"Mar.2022","Avril2022",,"Mai2022",,"Juin2022",,Variations (en %) sur :,,,
,,,,,,1 mois,3 mois,1 an,,,,,,,,
,INDICE GLOBAL,10.000,,"108,7",,"111,8","112,6",,"113,3",,"113,8",,"0,4","1,8","4,7",
,"I- Produits alimentaires et boissonsnon alcoolisées",4776,,"111,2",,"116,5","117,6",,"118,8",,"120,2",,"1,2","3,2","8,2",
,"II- Boissons alcoolisées, tabac etstupéfiants",99,,"105,9",,"106,3","106,9",,"106,9",,"107,4",,"0,5","1,0","1,4",
,"III- Articles d’habillement etchaussures",800,,"108,2",,"110,6","110,8",,"111,0",,"111,0",,"0,1","0,4","2,7",
,"IV- Logement, eau, électricité, gazet autres combustibles",698,,"117,1",,"117,9","120,4",,"120,6",,"119,3",,"-1,1","1,2","1,9",
,"V- Meubles, articles de ménage etentretien courant du foyer",875,,"102,7",,"104,1","104,1",,"104,2",,"104,0",,"-0,3","-0,2","1,2",
,VI- Santé,383,,"102,3",,"106,1","106,2",,"106,3",,"105,8",,"-0,5","-0,4","3,4",
,VII- Transports,920,,"100,8",,"101,4","101,8",,"101,8",,"101,7",,"0,0","0,3","1,0",
,VIII- Communications,364,,"100,8",,"101,3","101,8",,"101,8",,"101,6",,"-0,2","0,3","0,8",
,IX- Loisirs et culture,200,,"103,3",,"103,2","103,3",,"103,4",,"103,8",,"0,4","0,6","0,5",
,X - Enseignement,123,,"97,5",,"97,6","97,6",,"97,6",,"97,6",,"0,1","0,1","0,1",
,XI- Restaurants et hôtels,443,,"116,9",,"116,5","116,6",,"116,6",,"116,6",,"0,0","0,1","-0,2",
,XII- Biens et services divers,319,,"108,5",,"109,8","110,0",,"110,2",,"109,7",,"-0,4","0,0","1,2",
