Indicator.Name,Indicator.Code,original_language,2023-01-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,INDICE GLOBAL,"2,0"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,"I- Produits alimentaires et boissons non
alcoolisées","1,3"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,"II- Boissons alcoolisées, tabac et stupé-
fiants","10,0"
Clothing and footwear,PCPIA_PC_CP_A_PT,"III- Articles d’habillement et
chaussures","2,1"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,"IV- Logement, eau, électricité, gaz et
autres combustibles","2,8"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,"V- Meubles, articles de ménage et
entretien courant du foyer","3,2"
Health,PCPIM_PC_CP_A_PT,VI- Santé,"1,6"
Transport,PCPIT_PC_CP_A_PT,VII- Transports,"2,4"
Communication,PCPIEC_PC_CP_A_PT,VIII- Communications,"1,5"
Recreation and culture,PCPIR_PC_CP_A_PT,IX- Loisirs et culture,"4,9"
Education,PCPIED_PC_CP_A_PT,X - Enseignement,"-0,1"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,XI- Restaurants et hôtels,"2,2"
Insurance and Financial Services,,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,XII- Biens et services divers,"4,4"
