original_language,2023-01-31,Indicator.Name
INDICE GLOBAL,"2,0","Consumer Price Index, All items"
"I- Produits alimentaires et boissons non
alcoolisées","1,3",Food and non-alcoholic beverages
"II- Boissons alcoolisées, tabac et stupé-
fiants","10,0","Alcoholic Beverages, Tobacco, and Narcotics"
"III- Articles d’habillement et
chaussures","2,1",Clothing and footwear
"IV- Logement, eau, électricité, gaz et
autres combustibles","2,8","Housing, Water, Electricity, Gas and Other Fuels"
"V- Meubles, articles de ménage et
entretien courant du foyer","3,2","Furnishings, household equipment and routine household maintenance"
VI- Santé,"1,6",Health
VII- Transports,"2,4",Transport
VIII- Communications,"1,5",Communication
IX- Loisirs et culture,"4,9",Recreation and culture
X - Enseignement,"-0,1",Education
XI- Restaurants et hôtels,"2,2",Restaurants and hotels
XII- Biens et services divers,"4,4",Miscellaneous goods and services
