original_language,2022-11-30,Indicator.Name
INDICE GLOBAL,"3,6","Consumer Price Index, All items"
"I- Produits alimentaires et boissons non
alcoolisées","5,3",Food and non-alcoholic beverages
"II- Boissons alcoolisées, tabac et stupé-
fiants","5,6","Alcoholic Beverages, Tobacco, and Narcotics"
"III- Articles d’habillement et
chaussures","2,6",Clothing and footwear
"IV- Logement, eau, électricité, gaz et
autres combustibles","1,7","Housing, Water, Electricity, Gas and Other Fuels"
"V- Meubles, articles de ménage et
entretien courant du foyer","1,4","Furnishings, household equipment and routine household maintenance"
VI- Santé,"3,8",Health
VII- Transports,"0,9",Transport
VIII- Communications,"1,2",Communication
IX- Loisirs et culture,"3,2",Recreation and culture
X - Enseignement,"-0,1",Education
XI- Restaurants et hôtels,"1,8",Restaurants and hotels
XII- Biens et services divers,"3,5",Miscellaneous goods and services
