Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,"Pondé-rations",,"Sept.2021",,"Juin.2022","Juil.2022","Août.2022",,"Sept.2022",,Variations (en %) sur :,,,,
,,,,,1 mois,3 mois,1 an,,,,,,,,,
,INDICE GLOBAL,10.000,,"110,6",,"113,8","114,7","115,3",,"114,1",,"-1,0","0,3","3,2",,
,"I- Produits alimentaires et boissonsnon alcoolisées",4776,,"114,6",,"120,2","121,4","122,5",,"120,2",,"-1,9","0,0","4,9",,
,"II- Boissons alcoolisées, tabac etstupéfiants",99,,"105,9",,"107,4","112,0","113,8",,"113,3",,"-0,4","5,6","7,0",,
,"III- Articles d’habillement etchaussures",800,,"108,3",,"111,0","111,0","111,1",,"111,1",,"0,0","0,1","2,5",,
,"IV- Logement, eau, électricité, gazet autres combustibles",698,,"117,5",,"119,3","119,3","118,9",,"118,6",,"-0,3","-0,6","0,9",,
,"V- Meubles, articles de ménage etentretien courant du foyer",875,,"103,5",,"104,0","104,3","104,3",,"105,0",,"0,6","1,0","1,4",,
,VI- Santé,383,,"102,5",,"105,8","105,6","105,5",,"105,7",,"0,2","0,0","3,2",,
,VII- Transports,920,,"100,9",,"101,7","101,8","102,0",,"102,0",,"0,0","0,3","1,1",,
,VIII- Communications,364,,"100,8",,"101,6","101,7","101,7",,"101,8",,"0,1","0,2","1,0",,
,IX- Loisirs et culture,200,,"103,3",,"103,8","105,9","106,9",,"106,9",,"0,0","3,0","3,4",,
,X - Enseignement,123,,"97,5",,"97,6","97,6","97,6",,"97,6",,"0,0","0,0","0,1",,
,XI- Restaurants et hôtels,443,,"116,9",,"116,6","118,9","118,9",,"118,9",,"0,0","1,9","1,7",,
,XII- Biens et services divers,319,,"108,5",,"109,7","109,8","110,8",,"110,9",,"0,1","1,1","2,2",,
