original_language,2022-12-31,Indicator.Name
INDICE GLOBAL,"3,1","Consumer Price Index, All items"
"I- Produits alimentaires et boissons non
alcoolisées","3,9",Food and non-alcoholic beverages
"II- Boissons alcoolisées, tabac et stupé-
fiants","9,0","Alcoholic Beverages, Tobacco, and Narcotics"
"III- Articles d’habillement et
chaussures","2,6",Clothing and footwear
"IV- Logement, eau, électricité, gaz et
autres combustibles","3,5","Housing, Water, Electricity, Gas and Other Fuels"
"V- Meubles, articles de ménage et
entretien courant du foyer","1,6","Furnishings, household equipment and routine household maintenance"
VI- Santé,"3,8",Health
VII- Transports,"0,9",Transport
VIII- Communications,"1,6",Communication
IX- Loisirs et culture,"3,3",Recreation and culture
X - Enseignement,"-0,1",Education
XI- Restaurants et hôtels,"1,8",Restaurants and hotels
XII- Biens et services divers,"3,5",Miscellaneous goods and services
