Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Niger,407.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.7,3.77,3.75,1.68,2.22,2.33,3.2,2.94,3.15,3.74,1.45,-0.67,-0.39,0.1,0.88,2.43,-0.09,0.66,-0.19,0.95,0.96,0.19,0.66,0.96,1.95,1.96,1.36,1.21,2.46,4.24,3.86,3.2,2.84,2.29,1.14,1.64,0.11,-0.44,-0.74,-0.75,-1.28,-2.81,-2.68,-1.68,-1.15,-0.52,-0.62,-0.54,0.52,-0.12,-0.08,-0.36,-0.41,-0.94,-3.35,0.94,-0.3,-1.02,-1.2,0.31,-1.66,-0.21,2.32,1.97,2.36,2.87,6.53,1.31,1.53,1.13,1.45,-1.13,5.5,4.97,4.01,2.44,2.01,2.39,1.09,1.09,3.51,3.65,4.29,7.27,2.51,3.12,2.77,4.46,4.23,2.24,3.13,2.55,0.78,1.27,1.57,-1.74,-0.78,-1.27,-2.79,-3.51,-3.68,-3.52,-3.6,-2.87,-1.83,-1.84,-2.32,0.1,0.3,1.19,2.38,2.76,2.64,5.13,5.7,5.31,3.33,2.86,3.06,3.74,4.72,3.91,3.38,2.87,3.72,3.76,3.72,3.36,3.61,4.41,4.89,"5,4","4,7","5,3","5,4","1,5","4,7","3,8","3,4","3,2",3,"3,6","3,1",2
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Niger,411.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,0.37,-0.65,-1.59,-0.88,-2.06,-3.96,-3.83,-2.0,-1.74,-0.27,-0.42,-1.56,0.49,1.71,1.77,-0.13,-0.39,-1.08,-5.26,-0.37,-1.7,-2.12,-1.26,1.99,-1.59,-1.06,3.07,3.32,4.58,4.34,11.22,4.4,3.06,1.33,0.83,-4.0,6.66,7.0,5.75,3.91,2.92,3.78,0.76,0.57,3.26,5.25,6.35,11.43,1.91,0.3,-2.43,0.29,-0.19,-3.08,-1.13,-2.57,-3.07,-4.12,-4.23,-6.62,-3.66,-2.91,-3.78,-5.97,-6.53,-6.16,-6.59,-4.79,-2.96,-2.6,-2.51,-0.1,-0.31,1.24,4.03,4.81,4.26,9.13,10.74,10.15,6.21,5.34,5.77,6.37,8.44,6.63,6.46,5.76,8.07,7.71,7.48,6.7,7.67,8.67,9.65,"11,1","10,2","11,4","9,8","2,3","8,2","5,9","5,3","4,9",4,"5,3","3,9","1,3"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Niger,412.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.47,-4.99,-4.01,-0.35,-1.37,-0.77,0.73,2.51,1.82,2.77,0.84,-1.67,-2.36,0.13,1.25,1.67,1.43,3.53,3.38,0.91,1.38,3.46,0.79,2.49,0.2,0.4,-1.71,-4.25,-5.57,-5.86,-3.38,1.01,0.71,-3.42,-1.79,-4.35,-8.92,-4.2,-2.77,0.32,1.39,-2.43,-1.24,-2.9,-2.31,6.37,16.02,27.2,30.85,15.78,13.61,9.58,4.12,7.36,3.86,3.61,1.34,-5.13,-12.5,-18.54,-12.6,-6.68,-4.27,-0.38,5.89,6.25,5.22,6.27,7.41,5.71,5.99,6.79,4.38,4.55,3.1,2.89,4.03,2.85,4.48,-0.28,1.98,1.04,-0.09,-2.43,-1.12,-2.5,-1.32,0.66,-2.3,-2.31,-3.47,-0.85,-1.85,0.47,1.04,0.96,-1,"-0,4","1,4","-0,4","1,8","1,4","5,9","7,7",7,"5,8","5,6",9,10
Clothing and footwear,PCPIA_PC_CP_A_PT,Niger,413.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,0.07,-0.04,0.13,0.22,0.25,-0.92,-0.53,0.39,0.49,-0.09,-0.13,2.12,-1.67,-0.96,-0.13,0.02,0.05,0.17,-0.63,1.21,3.11,1.59,0.35,-0.69,1.53,0.81,0.9,2.0,0.3,2.79,3.21,1.08,-0.58,0.2,0.8,-4.76,1.41,4.12,2.49,-0.1,1.49,-1.65,-1.46,-1.75,-1.95,1.18,0.3,9.48,5.35,2.03,2.62,4.03,3.14,4.44,3.65,4.86,4.96,2.33,4.94,0.38,-0.66,0.66,0.47,0.19,1.62,0.09,1.52,1.14,1.04,1.71,0.75,0.95,0.47,-0.09,0.19,0.47,-0.19,0.85,0.37,0.37,0.28,0.37,0.09,1.22,1.79,1.69,1.69,1.59,1.41,1.5,0.84,0.93,0.75,0.84,0.93,"2,6","2,5","2,2","2,3","0,2","2,7","2,3","2,9","2,5","2,9","2,6","2,6","2,1"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Niger,414.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,2.52,2.54,2.5,-0.23,-0.69,-1.89,-1.97,-2.03,1.71,1.78,1.6,2.12,-3.16,-10.03,-17.12,-12.91,-16.92,-16.26,-17.12,-11.98,-5.06,-17.84,-16.31,-17.69,-14.75,1.27,9.64,4.92,9.06,8.98,12.06,4.85,0.3,19.38,17.37,36.65,11.76,-0.31,2.41,-3.86,-5.15,-0.1,0.0,2.88,-2.99,-6.76,-5.51,-12.83,17.85,20.34,16.36,21.48,25.28,16.39,15.47,16.98,18.89,19.38,20.78,8.83,2.8,1.48,1.32,3.39,2.65,3.23,4.7,1.37,3.28,3.47,-0.85,2.44,0.43,1.03,-0.78,-0.26,1.55,1.65,-0.59,-1.52,-1.76,-2.68,-1.28,0.26,1.02,0.76,1.66,1.21,-0.59,0.43,0.43,0.51,-0.34,1.12,1.13,"-0,3","-2,1","-0,5","3,5","3,5","1,9","1,5",1,"0,9","1,1","1,7","3,5","2,8"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Niger,415.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.09,-0.91,-1.75,-1.76,-0.7,0.17,0.66,0.64,0.69,0.72,0.92,1.17,1.62,-0.39,-6.65,-5.62,-7.79,-6.79,-8.41,-6.78,-8.04,-5.75,-5.1,-6.85,-9.06,-7.62,-3.6,3.34,4.03,3.13,4.06,2.91,3.93,3.84,2.22,3.33,4.93,6.27,9.84,1.67,0.52,-1.67,0.95,0.94,0.74,-1.03,-0.41,-0.31,-0.94,-0.72,-1.44,4.41,2.81,6.06,3.97,3.95,3.55,2.28,3.22,4.7,4.95,3.02,3.55,-2.36,1.22,-0.3,1.21,0.2,1.41,1.62,1.21,0.5,1.51,2.43,2.12,2.52,1.6,2.21,0.89,1.69,1.09,1.8,1.09,1.09,2.08,2.17,2.37,0.98,1.28,0.98,1.48,0.98,1.77,1.47,1.77,1.57,"0,9","0,8","0,6","1,3","0,1","1,2","1,1","1,3","1,4","1,4","1,4","1,6","3,2"
Health,PCPIM_PC_CP_A_PT,Niger,404.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,0.79,0.55,1.38,2.02,2.65,1.35,0.0,-0.36,1.73,0.28,1.16,2.01,1.2,0.42,-0.91,0.4,0.44,0.54,-0.6,-0.09,0.17,0.25,0.43,-1.27,-1.38,1.4,4.04,1.97,1.47,5.84,5.65,3.98,3.35,2.48,1.58,-4.47,7.12,4.94,3.88,3.09,2.8,-0.75,0.1,2.39,0.29,3.2,6.4,7.9,-0.66,-0.75,0.56,0.84,0.85,0.75,0.76,-0.93,0.57,-0.09,-2.92,0.48,-3.11,-2.18,-4.27,-4.47,-3.91,-3.74,-2.27,-2.55,-1.7,-3.29,-2.82,-0.77,0.0,0.19,0.0,0.58,-0.1,0.49,-0.39,-0.39,-1.35,0.0,-0.77,-0.1,0.19,-0.77,-0.58,-0.87,-0.68,-0.68,0.19,-0.39,-0.49,-0.87,0.0,"2,3","2,7","3,4","3,6","0,5","3,4","2,9","2,4","3,2","3,9","3,8","3,8","1,6"
Transport,PCPIT_PC_CP_A_PT,Niger,405.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,3.16,3.16,3.19,3.11,3.21,-0.05,0.04,-0.05,-0.05,-0.02,-0.03,-0.12,0.4,-0.01,-0.35,-0.44,0.04,-0.06,-0.26,-1.09,-0.06,-0.59,-1.3,0.72,-1.63,-0.82,-0.31,-0.51,-1.23,-0.31,-0.92,0.52,-0.31,-1.24,-0.21,-1.32,1.56,-0.41,-1.13,-0.21,0.0,-0.72,-0.31,-1.24,12.76,3.86,3.54,4.64,3.27,8.3,8.76,8.71,7.47,7.56,8.53,9.92,-3.47,6.23,6.63,2.47,2.57,-0.38,-0.67,-0.76,0.29,0.39,-0.58,-1.8,-2.17,-2.18,-2.83,-0.19,0.0,-0.48,1.06,0.29,0.77,0.29,0.77,0.97,1.06,1.16,1.45,1.25,1.83,2.03,-3.72,-3.16,-3.72,-3.54,-3.54,-3.35,-3.63,-3.35,-3.35,"-3,6","-4,1","-3,9",1,"0,5",1,1,"1,1","1,1","1,2","0,9","0,9","2,4"
Communication,PCPIEC_PC_CP_A_PT,Niger,403.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,-15.61,-16.66,-16.66,-18.08,-18.05,-18.05,-18.05,-18.05,-17.97,-17.95,-17.95,-18.21,-5.36,-2.21,-2.1,-1.34,-0.68,0.08,-2.1,2.9,3.7,6.81,1.92,6.48,8.84,5.89,-5.77,-6.72,-7.33,-7.93,-6.22,-11.09,-10.94,-14.17,-7.86,11.44,13.5,-7.66,3.77,5.31,11.33,4.6,5.09,4.99,6.99,7.52,4.5,-13.56,-14.59,31.7,31.44,29.6,22.8,30.55,30.52,31.11,27.93,30.59,31.18,14.6,14.47,-13.46,-13.39,-13.24,-13.39,-13.39,-13.46,-13.46,-11.71,-13.31,-13.31,-4.66,-4.66,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"0,5","0,5",1,"0,5","0,8","0,8","0,9",1,"1,5","1,2","1,6","1,5"
Recreation and culture,PCPIR_PC_CP_A_PT,Niger,410.0,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.94,0.94,0.48,0.73,0.87,1.15,1.15,1.12,1.37,1.58,1.54,0.46,0.9,-0.88,1.57,-2.09,-0.21,-1.77,1.18,84.22,0.98,-1.55,0.84,0.88,1.27,2.59,1.75,3.53,3.07,3.81,1.66,-45.1,0.48,0.99,-1.83,-5.65,-0.58,0.97,-0.77,0.97,-1.83,0.1,-0.77,10.32,14.19,1.66,2.46,5.06,0.68,-2.69,-0.39,-1.25,-0.39,-1.35,1.06,-9.18,-12.26,0.38,0.48,6.09,2.41,5.04,1.94,3.32,3.44,3.42,0.57,1.73,0.57,0.96,0.29,-4.35,-2.64,-3.1,-2.09,-2.46,-2.18,-2.37,-1.99,-2.37,-1.62,-1.71,-1.43,0.29,0.19,1.07,0.29,0.58,0.29,0.19,0.1,0.1,0.0,0.1,-0.1,"-0,4","-0,3","-0,9","-0,1","0,2","0,5","2,4","3,4","3,4","3,4","3,2","3,3","4,9"
