Indicator.Name,2022-03-31
Indice global,"6,20%"
1Produits alimentaires et boissons non alcoolisées,"10,20%"
"2Boissons alcoolisées, tabac et stupéfiant","2,40%"
3Articles d'habillement et chaussures,"2,00%"
"4Logement, eau, électricité, gaz et autres combustibles","2,50%"
"5Meubles, articles de ménages et entretien courant du foyer","3,40%"
6Santé,"1,80%"
7Transports,"2,30%"
8Communication,"-6,00%"
9Loisirs et cultures,"1,10%"
10  Enseignement,"1,60%"
11  Restaurants et hôtels,"4,30%"
12  Biens et services divers,"2,00%"
