Indicator.Name,2022-05-31
Indice global,"7,4%"
1Produits alimentaires et boissons non alcoolisées,"12,0%"
"2Boissons alcoolisées, tabac et stupéfiant","3,4%"
3Articles d'habillement et chaussures,"4,1%"
"4Logement, eau, électricité, gaz et autres combustibles","3,6%"
"5Meubles, articles de ménages et entretien courant du foyer","4,0%"
6Santé,"1,7%"
7Transports,"0,9%"
8Communication,"-5,8%"
9Loisirs et cultures,"1,0%"
10  Enseignement,"1,6%"
11  Restaurants et hôtels,"5,1%"
12  Biens et services divers,"2,4%"
