Indicator.Name,Indicator.Code,2022-08-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,28.15
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,31.6
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,15.74
Clothing and footwear,PCPIA_PC_CP_A_PT,13.09
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,18.82
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,41.51
Health,PCPIM_PC_CP_A_PT,21.22
Transport,PCPIT_PC_CP_A_PT,25.16
Communication,PCPIEC_PC_CP_A_PT,9.94
Recreation and culture,PCPIR_PC_CP_A_PT,50.27
Education,PCPIED_PC_CP_A_PT,47.67
Restaurants and hotels,PCPIRE_PC_CP_A_PT,53.97
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,31.28
