Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Sudan,0,SDN,6.24,7.31,7.79,11.73,12.11,17.06,19.0,21.75,19.17,17.4,16.73,14.89,11.27,11.04,10.91,8.56,8.87,9.86,9.86,10.46,13.02,12.89,14.5,13.45,14.62,14.31,14.8,15.07,15.25,15.58,13.03,10.35,9.23,9.67,9.78,15.35,16.72,16.92,17.07,16.67,16.76,15.07,17.63,21.15,20.73,19.82,19.14,18.89,19.32,21.28,22.42,28.61,30.44,37.13,41.63,42.06,41.61,45.25,46.55,44.44,43.63,46.84,47.87,41.44,37.26,27.06,23.82,22.86,29.45,40.28,42.63,41.9,40.92,37.02,35.66,37.73,41.2,45.29,46.76,46.4,39.17,28.24,25.59,25.67,23.98,22.97,23.18,21.2,19.76,18.26,14.09,11.31,13.56,13.37,12.8,12.58,12.44,12.94,11.7,12.85,13.98,14.31,16.5,18.15,18.32,19.6,29.49,30.47,32.86,33.53,34.68,34.81,35.52,32.63,34.23,34.61,35.13,33.08,24.76,25.15,52.37,54.34,55.6,57.65,60.93,63.86,63.94,66.82,68.64,68.44,68.93,72.94,43.45,44.29,45.4,44.56,44.95,47.78,52.59,53.13,53.53,57.7,60.67,57.01,64.28,71.36,0.0,0.0,114.23,136.36,143.78,166.83,212.29,229.85,254.34,269.33,304.33,330.78,702.45,820.77,378.79,412.75,422.78,387.56,365.82,350.84,339.58,318.21,259.79,258.4,263.16,220.7,192.2,148.9,125.4,117.4,"107,3",
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Sudan,0,SDN,22.03,27.82,27.92,34.07,31.28,33.16,34.48,45.4,33.4,19.92,22.15,18.13,12.34,12.79,13.05,9.44,9.94,10.82,8.97,9.52,14.14,14.45,16.74,14.51,18.77,17.97,18.4,18.94,19.6,18.57,15.86,11.67,9.43,10.2,11.05,19.71,19.73,19.91,20.36,18.83,18.8,16.29,20.45,25.21,23.88,21.22,19.86,20.18,23.07,25.05,26.3,34.74,36.73,41.64,43.2,41.59,41.5,48.61,50.33,46.31,43.57,45.03,46.4,36.92,31.63,21.92,19.83,20.63,25.84,30.01,30.49,28.89,25.77,23.72,21.17,25.39,31.07,38.6,41.47,41.81,35.0,30.81,28.38,27.54,24.26,23.08,24.87,21.72,18.85,16.5,10.21,5.38,8.48,7.02,6.84,7.85,9.91,8.73,5.86,7.78,9.6,8.89,12.03,14.48,15.37,18.39,26.15,26.65,27.62,31.46,34.58,35.78,37.46,33.93,37.88,39.09,41.44,36.71,31.4,31.71,56.21,58.08,60.19,60.77,64.96,69.08,70.95,74.54,74.71,76.29,78.0,87.21,61.36,62.04,61.63,62.24,57.95,60.39,63.59,61.92,60.95,66.74,70.09,63.28,67.74,76.13,0.0,0.0,128.45,137.94,136.47,146.3,175.6,194.53,203.13,206.47,248.26,261.99,565.49,625.31,241.83,247.97,272.59,260.76,226.93,208.55,195.89,191.6,154.87,129.03,144.97,,,,,,,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Sudan,0,SDN,7.29,14.71,7.49,16.0,16.1,10.65,10.84,13.53,8.05,6.21,5.22,4.87,-0.81,-7.17,-0.9,-8.11,1.06,6.51,6.45,5.91,10.4,12.08,13.14,13.52,13.16,13.09,13.47,13.86,8.16,7.61,7.38,5.16,5.16,5.16,5.16,5.21,12.57,12.9,12.5,13.44,9.17,9.2,9.37,9.37,10.02,10.67,11.08,14.77,25.52,27.89,28.75,41.38,42.51,46.06,46.6,47.78,46.91,51.25,50.84,46.11,26.44,26.26,28.06,16.07,14.58,12.15,11.55,11.29,27.69,35.13,40.83,44.9,45.89,42.96,39.99,43.91,43.75,44.41,45.52,45.41,28.4,18.33,15.88,13.82,15.49,15.72,16.16,12.5,15.86,17.71,16.88,31.89,30.79,30.82,28.26,29.11,26.6,29.92,29.42,29.47,27.5,24.77,29.25,24.78,27.89,26.87,36.65,36.66,35.09,32.15,32.17,32.57,30.71,30.54,26.95,16.4,14.82,14.56,6.68,4.89,12.19,26.15,31.37,31.38,33.28,33.09,33.46,35.07,33.73,30.26,29.71,37.72,45.83,32.73,28.0,30.04,28.39,67.2,71.81,92.94,94.81,105.95,108.56,97.34,79.13,84.0,0.0,0.0,129.79,85.78,82.61,88.78,111.48,151.47,154.44,189.68,236.48,233.06,553.14,601.75,267.59,316.12,395.53,332.31,294.04,250.97,270.46,237.5,199.11,189.74,227.11,,,,,,,
Clothing and footwear,PCPIA_PC_CP_A_PT,Sudan,0,SDN,4.1,4.82,5.07,6.96,6.86,7.84,7.7,8.09,9.86,10.13,10.07,10.39,11.03,9.8,9.08,7.2,7.5,9.09,9.77,10.46,11.07,10.48,11.96,11.98,9.39,10.96,12.84,12.96,12.16,9.46,8.65,8.63,6.89,6.89,8.54,12.38,13.46,13.08,11.48,11.49,13.6,13.71,14.16,21.65,23.66,25.43,23.25,22.34,25.02,31.64,32.87,37.36,41.72,47.12,51.28,57.72,56.27,66.62,67.23,68.19,69.14,66.58,70.97,68.74,62.64,57.08,53.86,39.97,46.32,45.58,49.42,48.78,56.46,50.96,47.46,47.05,46.73,47.59,66.31,63.88,55.04,43.86,38.57,37.24,32.5,33.05,32.66,31.04,31.43,31.66,19.2,20.42,22.59,22.91,26.31,24.05,19.42,20.04,19.89,20.15,20.19,23.5,20.49,19.25,18.64,19.28,20.92,22.5,21.22,19.59,19.57,19.17,18.42,16.8,19.27,19.41,17.99,17.46,13.33,12.28,27.38,28.72,29.04,31.22,37.32,51.57,49.79,56.53,58.92,59.91,59.7,59.93,60.15,60.79,61.9,59.15,105.37,93.15,96.15,90.63,86.51,86.12,87.9,89.34,79.05,88.19,0.0,0.0,90.75,109.33,115.8,146.02,166.77,190.96,200.2,202.78,221.39,222.62,627.79,793.27,290.87,268.2,260.67,227.76,220.97,197.44,199.99,203.22,170.68,157.92,125.69,,,,,,,
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Sudan,0,SDN,15.61,15.6,17.51,17.03,16.85,18.74,18.78,19.26,19.48,18.92,19.08,18.8,3.18,9.03,7.29,7.4,6.69,6.69,10.55,10.36,10.15,10.49,10.45,10.67,18.19,11.84,12.11,12.05,12.39,11.24,7.03,6.85,7.03,7.28,6.89,7.4,6.54,7.12,7.29,7.46,7.7,12.77,13.15,13.51,13.43,14.03,14.57,14.21,14.07,13.58,13.07,13.5,13.47,9.92,12.13,13.24,13.43,13.46,15.27,15.35,14.02,14.91,15.81,16.59,17.41,15.88,15.78,15.01,21.03,26.08,29.69,29.5,25.69,25.57,23.76,23.5,22.75,23.2,21.39,22.24,17.64,12.46,8.1,17.45,19.39,18.55,19.78,19.59,19.76,20.44,20.05,18.36,25.49,25.86,25.96,15.99,13.42,18.01,17.92,17.62,17.57,16.85,17.34,17.34,14.15,14.17,17.94,18.23,18.03,14.26,14.86,15.04,16.4,16.38,15.78,16.23,11.91,17.17,14.36,15.58,21.23,20.32,19.51,19.9,18.9,18.35,17.88,20.57,28.7,22.73,22.02,22.54,22.71,25.34,27.23,27.22,28.18,30.56,32.64,33.54,44.19,44.34,45.93,45.97,42.57,48.21,0.0,0.0,78.62,87.06,91.48,89.53,216.48,224.83,227.9,232.82,276.33,306.64,553.51,642.22,322.14,315.11,313.2,335.2,621.81,604.36,583.57,565.33,477.53,422.22,399.83,,,,,,,
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Sudan,0,SDN,2.25,4.57,4.67,5.43,4.7,7.83,7.21,7.0,6.91,9.47,9.59,10.59,7.24,8.03,7.39,7.18,8.4,7.98,10.44,12.12,12.08,9.8,9.72,8.72,9.26,8.52,10.38,11.34,9.92,7.98,5.97,5.29,7.34,6.93,6.8,10.73,15.37,17.41,16.19,16.47,19.0,19.94,20.53,23.44,23.63,24.75,25.48,22.46,18.51,23.24,29.5,32.68,34.3,38.9,46.51,49.16,47.76,48.68,49.1,50.42,61.63,65.39,58.65,58.97,56.69,53.53,48.45,42.96,50.09,62.96,72.01,70.8,74.71,60.53,59.47,53.65,51.82,53.93,52.54,51.62,42.94,29.33,21.71,20.35,17.81,18.25,17.86,16.68,16.46,13.21,12.31,11.97,13.94,14.56,14.27,14.22,9.8,13.61,13.33,14.63,15.89,16.39,16.07,16.2,16.68,16.22,27.47,29.43,25.88,23.17,23.63,23.45,22.86,21.78,23.53,24.1,22.67,23.32,14.81,15.05,70.32,71.19,71.57,74.48,78.19,77.05,73.71,74.86,78.69,79.34,76.02,74.74,29.19,29.58,41.88,40.22,41.42,45.37,52.31,56.54,61.1,61.44,63.52,63.72,68.91,72.21,0.0,0.0,81.19,99.48,103.47,129.97,140.47,151.9,161.88,169.5,200.31,229.28,501.63,550.66,277.7,290.18,301.78,273.74,254.69,243.71,252.31,243.19,179.45,168.53,168.21,,,,,,,
Health,PCPIM_PC_CP_A_PT,Sudan,0,SDN,0.85,5.68,3.87,8.52,6.09,10.06,11.39,11.39,10.22,10.55,9.19,5.92,12.87,7.94,8.8,4.26,8.15,9.09,9.33,9.65,9.67,9.56,11.21,14.76,6.34,6.35,8.61,8.54,7.25,2.51,2.28,2.6,2.81,2.87,2.74,8.28,14.62,15.68,14.89,16.18,17.55,19.28,22.19,22.96,23.9,25.82,27.31,21.0,14.15,13.23,13.82,18.84,18.98,47.36,53.67,53.24,52.02,50.5,51.64,52.69,60.92,70.68,73.15,71.77,69.41,35.93,28.49,32.79,36.41,43.45,41.86,41.66,44.44,40.31,38.04,32.13,32.09,35.52,35.34,30.14,26.58,19.84,19.03,18.36,16.76,13.52,13.88,13.81,13.51,10.33,10.24,10.38,10.33,10.16,10.2,10.39,5.15,9.01,9.65,10.15,11.18,11.38,16.7,17.18,18.21,18.63,65.11,65.69,68.78,67.93,67.85,67.14,65.84,64.4,56.54,60.07,60.57,61.25,17.18,16.6,61.92,59.41,57.83,58.47,59.28,59.09,58.28,55.19,53.62,52.64,51.35,52.35,11.29,10.31,12.12,12.29,12.65,13.87,19.16,19.08,20.24,21.9,22.34,22.24,20.65,20.32,0.0,0.0,38.04,48.93,49.66,62.5,76.81,103.95,105.26,115.03,184.41,200.0,318.14,380.93,273.82,273.02,278.76,278.74,352.2,302.41,314.6,303.59,210.36,218.05,193.08,,,,,,,
Transport,PCPIT_PC_CP_A_PT,Sudan,0,SDN,1.12,1.21,1.86,2.61,3.22,3.78,3.88,3.88,5.97,3.64,4.4,3.87,4.6,4.2,3.51,2.6,4.02,4.58,4.5,4.86,4.88,4.8,4.65,4.78,3.85,4.07,3.71,4.03,2.44,1.72,1.69,1.34,1.46,1.35,1.35,2.01,10.52,10.68,11.04,11.51,11.35,11.61,11.95,11.99,17.43,23.36,23.41,22.7,13.38,13.31,13.27,16.19,16.36,70.76,92.0,96.84,88.45,70.2,70.17,70.19,70.69,88.89,89.71,87.42,78.9,23.85,16.19,15.03,28.43,104.29,114.28,115.38,120.49,104.07,111.58,108.96,118.89,112.81,104.17,101.2,83.97,22.07,19.54,19.86,23.42,20.47,15.98,15.66,15.82,16.21,16.47,16.51,14.48,17.55,15.85,18.66,13.01,17.0,18.5,18.47,18.06,17.47,22.34,24.1,24.86,22.99,50.43,51.87,72.81,66.99,64.61,64.29,64.31,65.87,57.23,55.21,53.19,51.46,22.59,22.31,64.71,66.63,67.6,75.6,78.67,76.66,75.9,75.85,76.39,73.31,72.91,66.25,8.13,7.03,6.57,2.14,1.37,2.26,4.74,5.9,8.21,10.83,15.34,15.53,44.98,53.61,0.0,0.0,124.41,186.68,266.31,373.83,581.75,585.06,776.3,903.67,807.16,949.69,1754.71,2282.48,1289.98,1517.21,1238.26,970.94,735.59,783.7,681.45,580.91,497.24,540.74,521.98,,,,,,,
Communication,PCPIEC_PC_CP_A_PT,Sudan,0,SDN,-1.3,-0.69,-0.9,-0.9,-1.3,0.1,0.1,0.1,-0.08,-0.92,-1.22,-1.37,7.61,6.63,9.42,9.25,6.86,5.58,5.73,6.12,6.09,6.25,6.58,6.91,-0.25,1.85,1.26,1.63,4.07,4.07,3.93,3.54,4.6,5.34,5.32,5.28,5.34,4.34,2.28,2.07,8.11,8.11,8.12,8.12,7.04,7.02,7.04,4.03,3.68,10.09,10.1,13.76,7.96,9.28,54.88,57.05,56.91,48.46,48.93,54.48,54.32,46.62,46.65,45.75,45.75,44.79,3.04,1.67,6.57,18.79,21.48,21.49,30.02,28.55,28.66,52.33,52.66,52.4,51.71,51.67,45.91,38.52,35.38,34.14,25.54,27.61,27.68,26.6,25.99,29.17,29.36,30.01,29.61,50.34,52.5,52.49,57.54,59.96,61.57,34.31,35.05,34.73,34.15,39.59,39.0,21.4,22.93,23.63,19.39,19.52,18.65,19.13,18.7,15.62,15.62,11.5,11.53,10.82,8.75,9.46,36.92,56.91,56.73,55.87,59.21,59.18,58.97,60.3,62.15,61.86,60.16,58.25,30.01,59.58,16.63,16.85,15.21,14.03,16.48,16.5,16.65,17.35,21.71,23.35,35.15,-6.39,0.0,0.0,108.26,120.23,128.83,137.96,140.35,180.9,174.54,175.54,201.02,206.54,523.55,1124.86,488.35,466.49,458.58,435.63,434.93,372.58,367.81,362.66,286.12,283.64,151.07,,,,,,,
Recreation and culture,PCPIR_PC_CP_A_PT,Sudan,0,SDN,1.1,2.21,2.74,2.8,2.7,2.8,2.9,2.9,3.01,6.87,7.82,8.16,4.82,4.22,3.24,3.18,3.55,4.74,5.45,8.37,10.66,6.23,5.41,5.65,7.54,7.04,7.61,7.53,8.0,9.31,9.01,6.11,4.01,4.49,4.82,4.47,17.26,8.5,8.5,9.92,9.73,7.13,6.64,6.92,6.96,7.06,7.13,7.15,-1.73,8.16,8.72,39.49,39.84,62.74,67.75,104.52,107.53,112.03,111.91,103.65,110.07,140.74,148.9,90.63,91.41,73.6,78.3,45.78,50.1,58.23,59.73,74.37,70.6,55.08,50.24,52.11,50.99,43.83,36.94,38.41,51.4,40.27,38.96,39.9,37.82,38.75,37.89,38.48,37.91,37.46,40.94,39.49,27.9,27.72,27.28,20.26,19.19,12.46,14.18,24.78,26.76,28.15,23.37,29.61,23.54,23.86,33.04,33.83,36.39,37.1,35.05,22.27,21.88,20.55,31.63,25.99,26.22,31.11,22.55,33.43,66.72,70.4,70.51,74.6,73.5,73.47,59.64,70.89,71.74,66.51,74.7,59.82,26.62,25.45,27.2,24.28,24.4,28.72,58.53,76.14,88.88,94.16,84.53,85.52,110.49,141.13,0.0,0.0,139.5,373.85,315.62,329.23,302.85,326.74,338.24,341.42,324.68,299.11,948.71,975.01,353.53,137.81,264.87,286.61,326.46,288.58,291.47,289.11,253.79,222.02,294.11,,,,,,,
