Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Tanzania,571.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,7.5,8.04,8.58,9.75,10.91,13.01,14.15,16.8,17.92,19.17,19.75,19.73,19.4,18.95,18.66,18.24,17.39,15.72,14.91,13.51,12.89,12.11,12.06,10.93,10.37,9.77,9.38,8.34,7.64,7.54,6.75,6.06,6.32,6.24,5.56,6.03,5.98,6.07,6.29,6.48,6.42,6.54,6.7,6.63,5.88,5.84,4.75,3.98,4.18,4.28,4.46,5.32,6.14,6.45,6.36,6.08,6.33,6.61,6.84,6.53,5.64,5.43,5.09,5.2,5.51,5.1,4.86,4.47,4.51,4.8,5.04,5.17,5.45,6.39,6.42,6.08,5.44,5.17,5.02,5.27,5.08,4.43,3.97,3.98,3.89,3.93,3.82,3.64,3.4,3.3,3.27,3.36,3.15,2.96,3.25,2.95,3.15,3.13,3.2,3.52,3.74,3.71,3.57,3.39,3.59,3.76,3.85,3.72,3.74,3.42,3.3,3.16,3.17,3.34,3.33,3.12,3.1,2.96,3.15,3.53,3.3,3.17,3.3,3.35,3.59,3.82,3.84,4.04,4.03,4.15,4.16,4.0,3.67,3.56,3.78,4.03,4.44,4.54,4.649160538109403,4.83936026023462,4.94224963342376,4.878864957273028
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Tanzania,559.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,3.63,4.18,4.84,4.93,4.66,5.11,3.55,3.99,3.94,4.41,4.88,6.35,6.06,6.46,6.64,5.49,5.88,6.49,7.765699891693452,8.322711450052923,9.117833530370577,9.514660778008
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Tanzania,560.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.0,1.92,2.66,2.5,1.94,1.89,2.36,2.36,2.48,2.68,2.2,1.88,1.83,1.79,1.19,1.22,1.14,1.17,0.7073466685369323,0.9694742056264966,0.9231061800829524,0.7536397168999786
Clothing and footwear,PCPIA_PC_CP_A_PT,Tanzania,561.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,3.98,4.76,4.58,4.36,4.37,4.47,4.74,4.8,4.88,5.47,4.5,3.12,2.79,2.37,2.27,2.15,2.28,2.37,2.2823092586710105,2.630134099499667,2.544341744693579,2.136335464524676
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Tanzania,562.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,4.37,3.72,4.08,3.49,3.17,3.5,4.15,4.08,3.85,3.98,3.89,3.51,3.45,3.15,3.88,4.32,4.62,4.11,3.4334694708738525,3.2418204067441883,3.6633757547004944,2.826362666256083
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Tanzania,563.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3.18,3.24,3.08,2.84,2.87,2.89,3.1,3.18,3.19,3.58,4.08,2.97,2.97,2.83,2.79,3.27,3.63,3.89,3.64613639197869,3.627464244091448,4.189018655060741,3.9505365126921164
Health,PCPIM_PC_CP_A_PT,Tanzania,564.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,2.85,2.94,2.73,2.6,2.67,2.63,2.76,2.83,2.88,2.96,2.87,1.89,1.27,1.28,1.33,1.46,1.33,1.4,1.094296924446589,1.394328019778328,1.2942895427724528,1.4956601759954151
Transport,PCPIT_PC_CP_A_PT,Tanzania,565.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.01,0.5,0.22,1.23,3.84,4.26,5.65,5.88,5.61,5.44,5.87,4.41,3.72,2.94,3.87,7.22,8.89,8.68,8.076645634662539,7.90608809714007,6.081008670618866,6.073454039218948
Communication,PCPIEC_PC_CP_A_PT,Tanzania,566.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,1.97,2.11,1.83,1.75,1.94,1.79,1.83,1.81,1.86,1.39,1.47,1.28,1.23,1.0,0.62,0.74,0.53,0.44,0.39419228433666065,1.1082608139587247,1.2122322994144885,1.1656365336944798
Recreation and culture,PCPIR_PC_CP_A_PT,Tanzania,567.0,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,2.05,2.24,2.29,2.29,2.3,2.23,2.31,4.12,3.67,3.79,3.8,1.9,1.37,1.12,1.0,1.07,1.25,1.42,1.3046313748642036,1.6230912706136609,2.157287249052939,2.0104122068248724
