Unnamed: 0,Unnamed: 1,Unnamed: 2,Indices des mois de,Variation en %,Unnamed: 3
,Pondé Libellé /12mois ration,avr-21,janv-22 févr-22 mars-22 avr-22,/1mois /3mois,
,INDICE GLOBAL 10000,"109,7","115,4 116,6 116,1 117,9","1,5 2,1","7,5"
I,Produits alimentaires et boissons non alcoolisées 3287,"119,6","132,1 133,3 132,3 135,9","2,7 2,9","13,6"
,Produits alimentaires 3067,"120,6","133,8 135,2 134,0 137,8","2,8 3,0","14,3"
,dont:  Pains et céréales911,"113,2","131,5 133,3 133,8 134,6","0,6 2,3","18,9"
,Viande 308,"119,8","129,2 129,9 131,5 135,1","2,7 4,6","12,7"
,Poisson et fruits de mer 459,"128,5","138,7 142,9 140,4 144,0","2,6 3,8","12,1"
,Huiles et graisses 160,"117,3","144,7 138,9 137,0 147,4","7,7 1,9","25,7"
,Légumes  753,"124,0","138,4 139,6 133,3 137,8","3,4 -0,4","11,1"
,Tubercules et plantains 153,"134,4","134,4 134,9 141,0 166,8","18,3 24,1","24,1"
,"Sel, épices, sauces et produits alimentaires n.d.a. 157","111,3","121,1 118,0 113,7 120,6","6,1 -0,4","8,3"
II,"Boissons alcoolisées, tabacs et stupéfiants 93","106,0","108,5 110,6 110,8 109,2","-1,4 0,6","3,0"
III,Articles d'habillement et chaussures 839,"107,5","110,9 111,0 111,2 111,7","0,4 0,8","3,9"
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","100,4","105,1 108,8 106,7 106,4","-0,3 1,2","6,0"
"Meubles, articles de ménage et entretien courant du V","3,8 foyer  278","110,9","112,8 113,8 114,1 115,1","0,9 2,0",
VI,Santé 370,"103,4","103,1 103,6 103,8 104,2","0,3 1,0","0,7"
VII,Transports 941,"90,8","95,5 96,0 96,6 100,7","4,3 5,5","11,0"
VIII,Communication 588,"101,8","101,8 101,8 101,7 101,7","-0,1 -0,1","-0,1"
IX,Loisirs et culture 236,"104,0","107,2 111,8 111,8 112,4","0,5 4,8","8,0"
X,Enseignement 201,"112,4","108,4 108,8 109,2 109,2","0,0 0,8","-2,8"
XI,Restaurants et hôtels 1495,"114,0","115,7 115,9 116,1 117,0","0,8 1,1","2,6"
XII,Biens et services divers 469,"108,0","110,0 110,6 110,6 111,3","0,6 1,2","3,0"
