Unnamed: 0,Unnamed: 1,Unnamed: 2,Indices des mois de,Variation en %,Unnamed: 3
,Pondé Libellé /12mois ration,août-21,mai-22 juin-22 juil-22 août-22,/1mois /3mois,
,INDICE GLOBAL 10000,"113,0","119,6 120,1 120,5 120,9","0,3 1,1","7,0"
I,Produits alimentaires et boissons non alcoolisées 3287,"128,3","139,8 140,2 140,4 137,5","-2,1 -1,7","7,2"
,Produits alimentaires 3067,"129,7","142,0 142,4 142,5 139,4","-2,2 -1,9","7,4"
,dont:  Pains et céréales911,"126,4","137,4 140,5 137,6 135,6","-1,5 -1,4","7,3"
,Viande 308,"123,9","137,9 137,2 137,9 139,1","0,9 0,9","12,3"
,Poisson et fruits de mer 459,"141,0","146,2 143,4 147,5 145,0","-1,7 -0,9","2,8"
,Huiles et graisses 160,"126,3","148,6 156,4 166,2 166,9","0,4 12,4","32,2"
,Légumes  753,"136,3","150,3 150,5 151,0 140,3","-7,1 -6,7","2,9"
,Tubercules et plantains 153,"173,6","190,3 203,8 228,4 171,4","-25,0 -9,9","-1,3"
,"Sel, épices, sauces et produits alimentaires n.d.a. 157","115,7","123,9 123,5 123,1 122,1","-0,9 -1,5","5,5"
II,"Boissons alcoolisées, tabacs et stupéfiants 93","111,1","112,6 111,4 112,6 114,3","1,6 1,5","2,9"
III,Articles d'habillement et chaussures 839,"107,6","111,8 112,4 113,4 114,3","0,8 2,2","6,3"
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","98,4","105,0 107,0 105,8 109,6","3,7 4,4","11,4"
"Meubles, articles de ménage et entretien courant du V","7,2 foyer  278","111,3","116,0 117,2 118,1 119,4","1,1 2,9",
VI,Santé 370,"104,2","104,5 104,0 104,0 104,5","0,5 0,0","0,2"
VII,Transports 941,"95,2","102,3 103,0 106,5 111,6","4,8 9,1","17,3"
VIII,Communication 588,"101,8","101,6 101,6 101,6 101,6","0,0 0,0","-0,2"
IX,Loisirs et culture 236,"104,4","112,4 112,9 112,9 113,2","0,3 0,7","8,4"
X,Enseignement 201,"111,4","109,2 109,2 109,5 109,5","0,0 0,3","-1,7"
XI,Restaurants et hôtels 1495,"115,3","118,9 119,3 119,5 120,8","1,1 1,7","4,8"
XII,Biens et services divers 469,"108,0","111,8 111,5 112,1 112,8","0,6 0,9","4,4"
