Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,oct-21,juil-22 août-22 sept-22,oct-22,/1mois /3mois /12mois
,,ration,,,,
,,,,,,
,INDICE GLOBAL,10000,"111,6","120,5 120,9 120,5","119,7","-0,7 -0,7 7,2"
I,Produits alimentaires et boissons non alcoolisées,3287,"123,7","140,4 137,5 134,6","131,2","-2,5 -6,5 6,1"
,Produits alimentaires,3067,"124,8","142,5 139,4 136,4","132,8","-2,6 -6,8 6,4"
,,,,,,
,dont:  Pains et céréales,911,"118,7","137,6 135,6 131,0","125,9","-3,9 -8,5 6,1"
,Viande,308,"126,2","137,9 139,1 140,1","137,8","-1,7 -0,1 9,2"
,Poisson et fruits de mer,459,"137,4","147,5 145,0 145,2","134,9","-7,1 -8,6 -1,8"
,,,,,,
,Huiles et graisses,160,"136,6","166,2 166,9 170,2","173,1","1,7 4,1 26,7"
,Légumes,753,"127,4","151,0 140,3 133,1","130,9","-1,6 -13,3 2,8"
,Tubercules et plantains,153,"123,0","228,4 171,4 129,5","119,4","-7,8 -47,7 -2,9"
,"Sel, épices, sauces et produits alimentaires n.d.a.",157,"104,7","123,1 122,1 118,4","129,6","9,4 5,2 23,8"
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"110,1","112,6 114,3 119,6","116,8","-2,3 3,8 6,1"
III,Articles d'habillement et chaussures,839,"108,0","113,4 114,3 115,1","115,7","0,5 2,0 7,2"
IV,"Logement, eau, gaz, électricité et autres combustibles",1203,"100,4","105,8 109,6 111,1","111,8","0,6 5,7 11,4"
,"Meubles, articles de ménage et entretien courant du",,,,,
V,,278,"111,4","118,1 119,4 120,3","121,0","0,6 2,4 8,6"
,foyer,,,,,
VI,Santé,370,"103,6","104,0 104,5 104,2","104,2","0,0 0,2 0,6"
VII,Transports,941,"95,2","106,5 111,6 111,7","112,1","0,4 5,3 17,8"
VIII,Communication,588,"101,8","101,6 101,6 101,6","101,7","0,1 0,1 -0,1"
IX,Loisirs et culture,236,"104,8","112,9 113,2 113,5","113,6","0,1 0,7 8,4"
X,Enseignement,201,"107,9","109,5 109,5 109,8","111,2","1,3 1,6 3,0"
XI,Restaurants et hôtels,1495,"115,1","119,5 120,8 122,2","122,2","0,0 2,2 6,1"
XII,Biens et services divers,469,"109,0","112,1 112,8 113,2","114,3","1,0 2,0 4,9"
