original_language,2023-01-31,Indicator.Name
INDICE GLOBAL,"7,4",GLOBAL INDEX
Produits alimentaires et boissons non alcoolisées,"5,6",Food and non-alcoholic beverages
"Boissons alcoolisées, tabacs et stupéfiants","7,0","ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
Articles d'habillement et chaussures,"6,9",Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","9,1","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant du foyer","9,0","Furnishing, household equipment and routine household maintenance"
Santé,"1,0",Healthcare
Transports,"18,4",Transport
Communication,"-0,2",Communication
Loisirs et culture,"7,0",Leisure and culture
Enseignement,"2,6",Education
Restaurants et hôtels,"10,3",Restaurants and hotels
Biens et services divers,"4,9",Miscellaneous goods and services
